Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.742500,,0.814625,0.331625,0.687500,0.708406,0.517652,0.332250
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.368000,,0.353000,0.332594,0.358312,4.160539,0.399598,0.412637
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.210250,,0.209312,0.229281,0.204156,0.223766,30.455883,0.233713
"getClientID completed.",1.557000,,1.567250,1.087344,1.476125,5.315797,31.592449,1.174857
"Read file completed.",0.012750,,0.022313,0.011500,0.011953,0.012234,0.012629,0.013602
"[updateStatus] MySQL connection established.",0.135750,,0.187812,0.130469,0.152125,0.141273,0.186301,0.146350
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.230250,,2.280875,0.996281,2.182016,2.722172,262.757223,5.030445
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.258000,,0.262187,0.249000,0.247391,0.253055,5.683098,1.392188
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.231000,,0.184625,0.172000,0.165797,0.168648,0.181246,0.179695
"updateStatus completed.",9.533000,,320.592875,56.106688,164.873672,126.037445,386.041332,84.045547
"Write file completed.",9.822750,,337.338125,56.466906,173.355172,130.673969,399.914462,97.817693
"[getGroupStatus] MySQL connection established.",0.056000,,0.098437,0.085406,0.088438,0.097125,0.110063,0.078418
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.176000,,0.298312,0.281813,0.328563,0.333031,0.370238,0.261125
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.151250,,0.269437,0.286375,0.435344,0.562383,21.626203,1.212311
"getGroupStatus completed.",0.505000,,0.827625,0.823000,1.073781,1.186219,22.343762,1.743361
"Merge request completed.",4.413000,,9.759000,4.298000,10.072720,8.395429,10.026667,15.982286
"Majority request completed.",2.719000,,1.910000,1.747000,1.707000,16.167000,1.422000,3.211000
"Program completed. Total",16.730750,,349.491875,61.290719,182.625031,140.725625,414.877573,104.134697
