Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.235500,0.180375,0.177625,0.231812,0.207953,0.231094,0.241770,0.227381
"First request sent",0.025000,0.026375,0.033250,0.029469,0.033156,0.032883,0.033223,0.032100
"Time from request to first response",0.024750,23.221250,0.029313,0.028250,0.029875,0.029359,0.029918,0.029465
"Response received",676.282750,169.983500,1095.543625,2492.172812,4531.974234,12580.217094,17602.077672,25753.411400
"File saved",0.453500,0.183375,0.444437,0.431438,0.468562,0.467188,0.378910,0.406658
"Command executed",1057.106750,2.855250,1361.203188,1665.438375,2490.764344,4548.637172,13386.212469,67873.060422
"Second connection established",0.256250,0.218875,0.204062,0.238000,0.220656,0.221359,0.224465,0.216070
"Second request sent",0.025000,0.022250,0.021500,0.026219,0.026734,0.025508,0.024934,0.018475
"Result uploaded",0.054500,0.033250,0.048000,0.056656,0.057594,0.048359,0.052563,0.035525
"Process completed successfully. Total execution time",2291.092500,853.566625,3611.754812,6334.446375,11654.084234,30683.845234,54351.434039,151883.081113
