Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.928750,0.902875,0.834375,0.861531,1.558828,1.071914,1.087852,1.243518
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.698750,2.193125,1.810812,1.751156,1.708500,0.975016,0.924363,1.145348
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.305250,,0.292937,0.294281,0.321016,0.380266,0.481680,0.756270
"[distributeJob] UPDATE_MATRIX_STATUS /",0.283000,0.224125,0.273125,0.260375,0.262906,0.279211,0.260754,0.631553
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.194000,0.191500,0.231000,0.269000,0.206000,0.300000,0.175000,0.525000
"Distribute job completed.",24.269500,32.193750,24.733187,11.329594,12.474844,19.736148,28.935691,20.410611
"Clean buffer completed.",0.001750,0.001750,0.001563,0.001344,0.001297,0.001250,0.001332,0.001432
"Send headers completed.",0.483750,0.389125,0.332313,0.251906,0.222625,0.214547,0.214590,0.203922
"Open file completed.",0.028500,0.031875,0.039250,0.019563,0.018484,0.016375,0.016098,0.020900
"Output file completed.",0.741500,0.211375,9.812875,2.093844,2.681172,5.446625,2.512359,4.397426
"Program completed. Total",29.253500,36.548250,38.066563,16.745563,18.371734,28.458820,34.576840,28.042535
