Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.681500,0.739000,,0.196250,0.727109,0.258867,0.510680,0.316492
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.363250,1.243375,,0.321187,0.355453,0.322344,0.354582,0.414850
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.225500,0.209000,,0.213313,9.951328,30.142992,2.514582,0.233551
"getClientID completed.",1.481500,2.413875,,0.901437,11.264250,30.952023,3.587500,1.149518
"Read file completed.",0.012250,0.012375,,0.011594,0.012063,0.011977,0.012707,0.012713
"[updateStatus] MySQL connection established.",0.125250,0.118250,,0.162281,0.131234,0.184766,0.132559,0.138342
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.219750,0.501000,,1.488656,3.988266,136.801000,138.371816,2.875957
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.242750,0.226625,,0.257875,3.761234,5.609078,3.690465,0.615361
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.248750,0.208625,,0.173875,0.174203,0.157867,0.176559,0.181537
"updateStatus completed.",3.373000,8.278750,,199.772406,116.951641,354.350227,300.864762,50.907387
"Write file completed.",3.706000,8.618375,,219.828000,117.329719,395.467312,305.015082,56.225809
"[getGroupStatus] MySQL connection established.",0.068000,0.061875,,0.099594,0.103125,0.113680,0.096133,0.082832
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.194750,0.203875,,0.275625,0.328875,0.346688,0.309258,0.259312
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.154500,0.180875,,0.283813,18.546516,31.731211,1.329777,1.228525
"getGroupStatus completed.",0.523250,0.538250,,0.816156,19.193297,32.606219,1.969262,1.762543
"Merge request completed.",4.267000,2.972000,,4.830667,5.428300,7.749250,10.981000,16.562000
"Majority request completed.",2.556000,1.784000,,2.135000,1.763000,1.568000,2.061000,3.257000
"Program completed. Total",10.267500,15.166500,,226.235344,151.597594,462.182617,313.324156,61.736852
