Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.829750,1.012000,0.899125,0.856187,1.390938,1.214406,1.148891,0.992121
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.849000,11.214750,4.054875,3.266500,0.845078,0.697523,0.777930,4.801803
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.256500,0.346750,,0.279969,0.304281,0.353414,0.471879,0.692639
"[distributeJob] UPDATE_MATRIX_STATUS /",0.280750,5.802875,0.251750,0.238844,0.255891,0.508320,0.597887,2.072420
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.292000,0.350000,0.216500,0.214000,0.212000,0.190000,0.205000,0.110000
"Distribute job completed.",258.500750,43.855750,12.547563,15.310000,5.822641,23.395266,17.369309,16.340098
"Clean buffer completed.",0.002000,0.001750,0.001625,0.001281,0.001234,0.001305,0.001383,0.001371
"Send headers completed.",0.308250,0.322000,0.297500,0.252219,0.219359,0.190891,0.211328,0.191422
"Open file completed.",0.029000,0.028750,0.025875,0.021938,0.015484,0.014977,0.021473,0.015309
"Output file completed.",1.222250,1.007500,0.176937,3.362281,1.300031,1.321453,3.966023,4.480066
"Program completed. Total",263.758750,48.504250,16.170188,22.051281,10.243203,27.798016,24.536094,23.985920
