Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.577500,0.686625,0.673250,2.127031,0.295984,0.353742,0.495707,0.324494
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.348750,1.514000,0.330375,0.474906,0.296219,0.324773,0.398777,0.402273
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.213500,0.224750,0.170250,0.230094,0.188750,0.208852,0.457566,4.293584
"getClientID completed.",1.263250,2.575000,1.362375,3.067687,0.979719,1.134898,1.573930,5.224166
"Read file completed.",0.015000,0.008000,0.010688,0.012219,0.010078,0.011414,0.011648,0.012088
"[updateStatus] MySQL connection established.",0.171000,0.097750,0.098937,0.121344,0.116172,0.126211,0.125648,0.131045
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.921500,0.192875,0.802875,1.082375,1.569703,2.965922,2.289219,21.133709
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.246250,0.206500,0.196938,0.258688,0.241375,0.236734,0.533184,2.986881
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",0.332500,0.251625,0.238500,0.293625,0.310281,0.362477,0.535488,0.843371
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.294250,0.194625,0.158500,0.176656,0.160297,0.153578,0.167020,0.178105
"updateStatus completed.",122.141750,38.672875,234.180000,38.474406,74.611766,90.878070,54.403293,56.599658
"Write file completed.",122.374500,38.980125,234.562625,38.822750,75.036078,92.258641,55.013672,57.370227
"[getGroupStatus] MySQL connection established.",0.064750,0.093250,0.101688,0.082156,0.081391,0.088570,0.084000,0.076467
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.250750,0.270375,0.389000,0.508813,0.262187,0.277297,0.279516,0.256438
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.223500,0.233500,0.345000,0.420875,0.341797,0.503250,0.771602,8.643104
"getGroupStatus completed.",0.713750,0.760500,1.083812,1.205281,0.940906,1.061516,1.345445,9.164371
"Merge request completed.",41.731500,4.172800,5.608062,3.707500,4.010000,12.671308,6.348000,15.098000
"Majority request completed.",18.904000,6.390000,3.458000,4.796000,2.772000,4.748000,5.127000,5.055000
"Program completed. Total",196.288250,58.014750,314.606688,57.151312,93.161250,109.264508,68.064680,64.210536
