Description,Value
"[distributeJob] MySQL connection established.",1.848078
"[distributeJob] MySQL connection established.",2.934422
"[distributeJob] MySQL connection established.",1.853203
"[distributeJob] MySQL connection established.",2.004656
"[distributeJob] MySQL connection established.",1.964672
"[distributeJob] MySQL connection established.",2.231344
"[distributeJob] MySQL connection established.",1.558828
"[distributeJob] MySQL connection established.",2.697109
"[distributeJob] MySQL connection established.",1.064281
"[distributeJob] MySQL connection established.",2.633438
"[distributeJob] MySQL connection established.",1.390938
"[distributeJob] MySQL connection established.",2.651469
"[distributeJob] MySQL connection established.",2.640156
"[distributeJob] MySQL connection established.",1.269766
"[distributeJob] MySQL connection established.",2.143953
"[distributeJob] MySQL connection established.",1.377125
"[distributeJob] MySQL connection established.",1.477266
"[distributeJob] MySQL connection established.",1.742266
"[distributeJob] MySQL connection established.",1.628766
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.278422
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.240531
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",2.511328
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.106625
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.683406
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.750312
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.708500
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.974375
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.954406
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.504406
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.845078
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",3.174359
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.190031
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.282422
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.756437
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.942937
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.920984
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.270391
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.190359
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.304781
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.336391
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.290953
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.333266
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.320500
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.295516
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.321016
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.305109
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.303344
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.327453
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.304281
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.327281
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.338391
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.309625
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.329156
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.293125
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.348469
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.328469
"[distributeJob] UPDATE_MATRIX_STATUS /",0.250000
"[distributeJob] UPDATE_MATRIX_STATUS /",0.280484
"[distributeJob] UPDATE_MATRIX_STATUS /",1.591500
"[distributeJob] UPDATE_MATRIX_STATUS /",0.271172
"[distributeJob] UPDATE_MATRIX_STATUS /",0.264453
"[distributeJob] UPDATE_MATRIX_STATUS /",0.258266
"[distributeJob] UPDATE_MATRIX_STATUS /",0.262906
"[distributeJob] UPDATE_MATRIX_STATUS /",0.259172
"[distributeJob] UPDATE_MATRIX_STATUS /",0.253453
"[distributeJob] UPDATE_MATRIX_STATUS /",0.266406
"[distributeJob] UPDATE_MATRIX_STATUS /",0.255891
"[distributeJob] UPDATE_MATRIX_STATUS /",2.002875
"[distributeJob] UPDATE_MATRIX_STATUS /",0.275250
"[distributeJob] UPDATE_MATRIX_STATUS /",0.272406
"[distributeJob] UPDATE_MATRIX_STATUS /",0.258812
"[distributeJob] UPDATE_MATRIX_STATUS /",0.270781
"[distributeJob] UPDATE_MATRIX_STATUS /",0.252609
"[distributeJob] UPDATE_MATRIX_STATUS /",0.285344
"[distributeJob] UPDATE_MATRIX_STATUS /",0.274000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.297000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.301000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.208000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.117000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.256000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.190000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.206000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.301000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.218000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.214000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.212000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.150000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.275000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.192000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.214000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.179000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.208000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.211000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.216000
"Distribute job completed.",6.297906
"Distribute job completed.",10.056531
"Distribute job completed.",18.656609
"Distribute job completed.",11.372703
"Distribute job completed.",9.322391
"Distribute job completed.",8.926234
"Distribute job completed.",12.474844
"Distribute job completed.",41.989063
"Distribute job completed.",48.809078
"Distribute job completed.",49.536672
"Distribute job completed.",5.822641
"Distribute job completed.",18.455641
"Distribute job completed.",10.456000
"Distribute job completed.",9.501000
"Distribute job completed.",66.804328
"Distribute job completed.",7.928609
"Distribute job completed.",8.845844
"Distribute job completed.",11.771547
