Description,Value
"[distributeJob] MySQL connection established.",0.975938
"[distributeJob] MySQL connection established.",0.870687
"[distributeJob] MySQL connection established.",0.823437
"[distributeJob] MySQL connection established.",0.824812
"[distributeJob] MySQL connection established.",0.849625
"[distributeJob] MySQL connection established.",0.811938
"[distributeJob] MySQL connection established.",0.834375
"[distributeJob] MySQL connection established.",0.803875
"[distributeJob] MySQL connection established.",0.955688
"[distributeJob] MySQL connection established.",0.936062
"[distributeJob] MySQL connection established.",0.899125
"[distributeJob] MySQL connection established.",0.927937
"[distributeJob] MySQL connection established.",0.837812
"[distributeJob] MySQL connection established.",0.991563
"[distributeJob] MySQL connection established.",0.857000
"[distributeJob] MySQL connection established.",0.941875
"[distributeJob] MySQL connection established.",0.892875
"[distributeJob] MySQL connection established.",0.989187
"[distributeJob] MySQL connection established.",0.815250
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",3.600938
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",19.630187
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",3.718062
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",110.822812
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",2.352438
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",18.251313
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.810812
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",2.921563
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",42.302438
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",2.806000
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",4.054875
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",15.964375
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",140.526250
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",3.023875
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",26.661437
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",185.810250
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",2.038875
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",6.828563
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",6.837687
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.301875
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.319313
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.313563
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.347000
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.277562
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.298375
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.292937
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.255188
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.337938
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.293062
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.287563
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.333063
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.292125
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.296812
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.375437
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.265187
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.297563
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.311187
"[distributeJob] UPDATE_MATRIX_STATUS /",0.252188
"[distributeJob] UPDATE_MATRIX_STATUS /",2.051813
"[distributeJob] UPDATE_MATRIX_STATUS /",0.248188
"[distributeJob] UPDATE_MATRIX_STATUS /",12.439000
"[distributeJob] UPDATE_MATRIX_STATUS /",0.243812
"[distributeJob] UPDATE_MATRIX_STATUS /",5.122438
"[distributeJob] UPDATE_MATRIX_STATUS /",0.273125
"[distributeJob] UPDATE_MATRIX_STATUS /",1.212125
"[distributeJob] UPDATE_MATRIX_STATUS /",4.611375
"[distributeJob] UPDATE_MATRIX_STATUS /",0.270250
"[distributeJob] UPDATE_MATRIX_STATUS /",0.251750
"[distributeJob] UPDATE_MATRIX_STATUS /",3.177063
"[distributeJob] UPDATE_MATRIX_STATUS /",10.755625
"[distributeJob] UPDATE_MATRIX_STATUS /",0.261250
"[distributeJob] UPDATE_MATRIX_STATUS /",5.657250
"[distributeJob] UPDATE_MATRIX_STATUS /",16.988125
"[distributeJob] UPDATE_MATRIX_STATUS /",0.248438
"[distributeJob] UPDATE_MATRIX_STATUS /",2.676188
"[distributeJob] UPDATE_MATRIX_STATUS /",1.402625
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.293000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.190000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.288000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.183000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.379000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.398000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.231000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.433000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.296000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.208000
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.216500
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.207000
