Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.741250,0.893625,0.754750,0.917469,2.920719,1.163703,1.066484,1.008373
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",22.963750,9.237875,13.707437,2.173125,2.618672,0.943984,0.953379,0.993613
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.331000,0.345500,0.272313,0.277406,0.331250,0.363359,0.488375,0.700092
"[distributeJob] UPDATE_MATRIX_STATUS /",15.708750,3.803625,2.216750,0.252688,0.262156,0.359664,0.388555,0.564525
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.566000,0.296000,0.261000,0.208000,0.328000,0.214000,0.144000,0.298000
"Distribute job completed.",66.347250,68.810875,68.757875,10.271219,13.423031,21.890562,24.175480,13.729779
"Clean buffer completed.",0.002000,0.002000,0.001813,0.001156,0.001375,0.001258,0.001246,0.001328
"Send headers completed.",0.307500,0.353125,0.368250,0.215500,0.206266,0.213016,0.211984,0.198162
"Open file completed.",0.029000,0.030375,0.028375,0.025031,0.016734,0.022687,0.016480,0.015389
"Output file completed.",0.744750,6.504125,17.325875,3.501156,4.093828,3.995570,5.755938,3.474137
"Program completed. Total",70.990250,79.103625,89.426063,17.116656,20.811547,29.012016,33.137820,20.347457
