Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.292500,0.246750,0.224000,0.192156,0.212359,0.236430,0.226672,0.238746
"First request sent",0.025000,0.025500,0.025625,0.026938,0.030547,0.026797,0.029820,0.031010
"Time from request to first response",,,,,,,,
"Response received",771.795250,815.433625,1783.949938,3460.418094,6895.708141,13032.654391,5445.958547,24773.307246
"File saved",0.441750,0.470125,0.477000,0.499969,0.473016,0.432688,0.131871,0.370963
"Command executed",978.004000,1145.359000,1382.416375,1915.391219,2985.151922,4652.950266,6.785672,48314.315537
"Second connection established",0.263500,0.240875,0.252500,0.219156,0.238469,0.214609,0.169961,0.214016
"Second request sent",0.024500,0.023875,0.022000,0.025469,0.025531,0.026562,0.010926,0.019062
"Result uploaded",0.052500,0.053750,0.054188,0.052313,0.051844,0.056211,0.014512,0.034705
"Process completed successfully. Total execution time",,,,,,,,
