Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.273750,0.223875,0.238937,0.228469,0.225109,0.224219,0.236965,0.246195
"First request sent",0.024250,0.023500,0.024063,0.024625,0.026406,0.026320,0.027746,0.033180
"Time from request to first response",12.321750,0.030500,0.026813,0.027156,9.554937,0.028172,0.028262,0.029588
"Response received",613.589000,893.905625,2037.113750,3493.024094,7539.767703,15240.256391,22433.174789,25466.799869
"File saved",96.508000,161.320750,471.178375,1158.227938,1681.272047,4170.719469,10729.626590,29094.392240
"Command executed",893.946250,1152.579125,1356.229063,1893.493344,2897.646359,5276.298406,12485.198648,34592.258283
"Second connection established",0.296000,0.244375,0.229625,0.231063,0.234672,0.224781,0.222375,0.211125
"Second request sent",0.014750,0.025625,0.025688,0.026906,0.024906,0.025547,0.025418,0.020805
"Result uploaded",0.044250,0.038875,0.044250,0.041219,0.046094,0.042391,0.045664,0.033213
"Process completed successfully. Total execution time",2320.033500,3096.826875,5193.891625,9460.640438,18423.823625,37940.579984,73434.285375,149205.129615
