Pattern,Request Time (seconds),PHP Time (seconds)
W-1-128,0.230524,0.002149
W-1-128,0.824190,0.000891
W-1-128,0.765118,0.001006
W-1-128,0.246863,0.001560
W-1-128,0.704097,0.002098
W-1-128,1.029102,0.001962
W-1-128,0.414117,0.001415
W-1-128,0.939427,0.002173
W-1-128,0.354925,0.002014
W-1-128,0.876167,0.001995
W-1-128,0.408374,0.001909
W-1-128,0.574818,0.001917
W-1-128,0.619113,0.001983
W-1-128,0.532980,0.002035
W-1-128,0.726918,0.001956
W-1-128,0.848754,0.001908
W-1-128,0.512225,0.000741
W-1-128,0.762552,0.001890
W-1-128,0.906173,0.002034
W-1-128,0.299209,0.001917
W-1-128,0.662434,0.001821
W-1-128,0.573316,0.002106
W-1-128,0.549304,0.001986
W-1-128,0.429983,0.001948
W-1-128,0.378342,0.002050
W-1-128,0.450302,0.002031
W-1-128,0.600067,0.001979
W-1-128,0.412432,0.001923
W-1-128,0.336138,0.002087
W-1-128,0.224381,0.002734
W-1-128,0.912487,0.001920
W-1-128,0.963584,0.002108
W-1-128,0.662900,0.002086
W-1-128,0.601797,0.001940
W-1-128,0.420169,0.001289
W-1-128,1.022013,0.000928
W-1-128,0.417206,0.001902
W-1-128,0.487834,0.001959
W-1-128,1.007063,0.002168
W-1-128,0.510109,0.002035
W-1-128,0.379766,0.001058
W-1-128,0.289507,0.001983
W-1-128,0.336051,0.001548
W-1-128,0.286900,0.001412
W-1-128,0.619137,0.000933
W-1-128,0.662286,0.001601
W-1-128,0.551904,0.001029
W-1-128,0.876059,0.000841
W-1-128,0.308464,0.002041
W-1-128,0.289445,0.002003
W-1-128,0.247270,0.002281
W-1-128,0.565949,0.001912
W-1-128,0.927430,0.002046
W-1-128,0.760708,0.002017
W-1-128,0.641847,0.001916
W-1-128,0.795161,0.001595
W-1-128,0.879605,0.001909
W-1-128,0.821320,0.001979
W-1-128,0.851708,0.001978
W-1-128,0.653681,0.001925
W-1-128,0.496656,0.001942
W-1-128,0.795548,0.001888
W-1-128,0.278911,0.001123
W-1-128,0.574974,0.001990
W-1-128,0.328707,0.001994
W-1-128,0.428478,0.001982
W-1-128,0.604850,0.001964
W-1-128,0.617370,0.001933
W-1-128,0.708410,0.001969
W-1-128,0.896803,0.001354
W-1-128,0.479250,0.002105
W-1-128,0.618241,0.001378
W-1-128,0.365611,0.002112
W-1-128,0.772570,0.001050
W-1-128,0.299477,0.002026
W-1-128,0.687139,0.001149
W-1-128,0.549491,0.002128
W-1-128,0.931755,0.002035
W-1-128,0.715047,0.001959
W-1-128,0.360014,0.002017
W-1-128,0.320462,0.002082
W-1-128,0.247232,0.002203
W-1-128,0.662844,0.002001
W-1-128,0.870640,0.000920
W-1-128,0.812840,0.002018
W-1-128,0.579243,0.001404
W-1-128,0.372584,0.002145
W-1-128,0.518397,0.001932
W-1-128,0.998043,0.001926
W-1-128,0.703695,0.001983
W-1-128,0.428263,0.002008
W-1-128,0.228172,0.001377
W-1-128,0.539640,0.001503
W-1-128,0.802972,0.001999
W-1-128,0.301302,0.002018
W-1-128,0.498770,0.002109
W-1-128,0.762527,0.002107
W-1-128,0.860880,0.001365
W-1-128,0.512235,0.002055
W-1-128,0.597328,0.002031
W-1-128,0.246682,0.002090
W-1-128,0.912544,0.001827
W-1-128,0.483972,0.001369
W-1-128,0.577338,0.001047
W-1-128,0.613534,0.002058
W-1-128,0.601117,0.001910
W-1-128,0.778109,0.002193
W-1-128,0.448331,0.001716
W-1-128,0.778065,0.001967
W-1-128,0.716892,0.001764
W-1-128,0.373539,0.001962
W-1-128,0.224140,0.002004
W-1-128,0.746188,0.002059
W-1-128,0.397535,0.001723
W-1-128,0.927237,0.001967
W-1-128,1.006598,0.001945
W-1-128,0.452617,0.001427
W-1-128,0.328290,0.001937
W-1-128,0.365470,0.001855
W-1-128,0.254317,0.002017
W-1-128,0.504940,0.002069
W-1-128,0.396629,0.000962
W-1-128,0.309264,0.001882
W-1-128,0.553150,0.001967
W-1-128,0.964910,0.001937
W-1-128,0.224357,0.002801
W-1-128,0.855468,0.000964
W-1-128,0.760582,0.002079
