Pattern,Average Request Time (seconds),Average PHP Time (seconds)
W-1-4,0.013128,0.001778
W-1-8,0.055152,0.002031
W-1-16,0.054500,0.001720
W-1-32,0.138200,0.127033
W-1-64,0.303445,0.001999
W-1-128,0.584928,0.001822
W-1-256,0.665605,0.009715
W-1-512,1.113199,0.003796
