Pattern,Average Time (seconds)
W-1-4,0.030306
W-1-8,0.012339
W-1-16,0.046134
W-1-32,0.098024
W-1-64,0.233142
W-1-128,0.388364
W-1-256,0.681783
W-1-512,0.920658
