Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.715000,0.834500,0.866500,0.808750,1.266875,1.569492,1.351379,0.925260
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.495250,1.289875,3.893188,1.056063,1.077734,0.637063,0.667793,0.808066
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.246750,0.275250,0.307437,0.276375,0.330641,0.360875,0.469945,0.929291
"[distributeJob] UPDATE_MATRIX_STATUS /",0.272000,0.258750,0.266063,1.285937,0.277172,0.269617,0.827445,0.428205
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.144000,0.164000,0.283000,0.191000,0.210000,0.218000,0.190000,0.257000
"Distribute job completed.",3.983750,77.704375,21.715625,11.483406,84.873344,10.769844,10.349051,11.245584
"Clean buffer completed.",0.001750,0.001750,0.001563,0.001469,0.001609,0.001367,0.001371,0.001424
"Send headers completed.",0.202500,0.348125,0.269562,0.230156,0.295141,0.214047,0.201512,0.205305
"Open file completed.",0.015000,0.029125,0.024125,0.018313,0.020031,0.014648,0.015062,0.020086
"Output file completed.",0.864750,7.478125,6.247188,0.702844,10.986109,2.744266,2.190227,3.669447
"Program completed. Total",7.988750,88.752125,31.362437,15.330000,99.233891,16.592492,15.667090,18.003639
