Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.756750,1.001000,0.837812,0.783750,2.640156,1.051805,1.224262,1.118637
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.775500,1.287000,140.526250,1.810812,1.190031,1.008734,0.657457,0.843453
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.306000,0.276000,0.333063,0.304438,0.327281,,0.486391,0.766898
"[distributeJob] UPDATE_MATRIX_STATUS /",0.295500,0.265375,10.755625,0.252250,0.275250,0.502250,0.267945,0.788994
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.186000,0.198000,0.395000,0.211000,0.275000,0.211500,0.207000,0.133000
"Distribute job completed.",4.485250,51.567875,447.856750,11.426969,10.456000,6.967773,8.200391,10.989643
"Clean buffer completed.",0.001750,0.001625,0.001813,0.001469,0.001328,0.001336,0.001336,0.001350
"Send headers completed.",0.213000,0.413375,0.633938,0.248625,0.233328,0.231227,0.197797,0.193820
"Open file completed.",0.017250,0.032500,0.043563,0.019813,0.018078,0.014695,0.015219,0.015293
"Output file completed.",0.676750,24.162375,53.783375,10.705750,5.512078,0.126078,3.727820,4.491850
"Program completed. Total",8.994750,79.553875,505.444938,25.110000,19.153469,10.375594,15.137098,18.623762
