Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.636250,0.733000,0.710625,0.269625,0.664781,,0.279789,0.313982
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.346250,1.517875,0.334750,0.329937,0.348062,,0.324984,0.410438
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.247000,0.198125,0.192625,0.221313,0.206813,,16.800367,0.232264
"getClientID completed.",1.447500,2.634125,1.441125,1.026469,1.417766,,17.609086,1.147059
"Read file completed.",0.014250,0.009875,0.010625,0.013000,0.012422,,0.012395,0.013025
"[updateStatus] MySQL connection established.",0.152750,0.104250,0.126188,0.151000,0.119031,,0.179781,0.141098
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.897500,0.345125,0.773312,1.260781,0.973500,,137.235625,4.296574
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.309250,0.207375,0.242812,0.257500,0.237547,,2.173387,1.315666
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.257000,0.187875,0.185812,0.166250,0.173656,,0.174437,0.180104
"updateStatus completed.",21.694000,23.168750,89.916063,133.189938,130.002281,,290.414904,77.673730
"Write file completed.",22.061000,23.476500,90.429438,137.154406,130.552312,,323.699908,90.155521
"[getGroupStatus] MySQL connection established.",0.075500,0.063000,0.097500,0.092844,0.100156,,0.093414,0.080133
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.271000,0.209000,0.301063,0.277750,0.283703,,0.299934,0.262355
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.258750,0.211000,0.297312,0.312781,0.364219,,2.452926,1.289049
"getGroupStatus completed.",0.839000,0.633375,0.861688,0.865750,0.913813,,3.092688,1.818563
"Merge request completed.",4.154500,4.102000,21.530538,4.982824,4.573000,,11.639000,12.033000
"Majority request completed.",2.328000,3.189000,1.979000,1.571000,1.244000,,1.830000,3.209000
"Program completed. Total",32.092000,30.171250,113.178437,144.409937,135.548922,,304.207628,95.749109
