Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.299000,0.208250,0.253250,0.199031,0.217531,0.244219,0.230176,0.223533
"First request sent",0.025000,0.024625,0.032750,0.027438,0.030469,0.032805,0.033727,0.030426
"Time from request to first response",0.029750,17.562000,382.369688,0.027938,0.027922,0.016836,0.030801,0.027869
"Response received",671.988500,614.948875,1395.204125,2024.759375,5222.035297,3867.084898,17890.966371,23737.427840
"File saved",0.477500,0.473000,0.430937,0.472750,0.493250,0.172406,0.375105,0.379867
"Command executed",916.374750,1198.598750,1357.456937,1743.373625,2555.649750,2.674203,12641.415695,45802.476316
"Second connection established",0.270500,0.215500,0.218125,0.229375,0.221328,0.201539,0.216926,0.240152
"Second request sent",0.019500,0.026250,0.019062,0.027188,0.025781,0.016148,0.026246,0.019355
"Result uploaded",0.034750,0.045375,0.045500,0.057625,0.055172,0.019125,0.057059,0.036568
"Process completed successfully. Total execution time",2425.435000,2473.408750,3823.531875,6067.431219,12698.593391,16817.077906,57727.987906,123848.621762
