Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.272000,0.219625,0.175000,0.194719,0.229641,0.222398,0.235805,0.226494
"First request sent",0.024250,0.028000,0.028438,0.025875,0.031859,0.034578,0.034047,0.031447
"Time from request to first response",0.029250,24.940125,378.305937,0.027750,0.029203,0.031227,0.031242,0.028896
"Response received",671.522250,819.956500,1406.249312,2463.869938,6114.437578,10355.810516,20854.540883,25012.524641
"File saved",0.441750,0.452125,0.459813,0.465625,0.482125,0.466641,0.364984,0.395344
"Command executed",981.449500,1156.301125,1306.675563,2096.913844,2537.120281,5623.419750,10753.639145,46506.367453
"Second connection established",0.205250,0.217875,0.224938,0.250875,0.227797,0.222328,0.212484,0.214846
"Second request sent",0.021750,0.024750,0.024125,0.025750,0.025609,0.026594,0.025379,0.018805
"Result uploaded",0.052250,0.054000,0.037750,0.054906,0.051953,0.050047,0.056492,0.033393
"Process completed successfully. Total execution time",2277.766500,2713.443500,3680.431938,6940.925312,15254.864109,29698.833094,57829.539000,127553.457414
