Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.899250,0.990875,0.892875,0.801844,1.477266,1.201234,1.247516,1.112006
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.440250,30.486750,2.038875,1.012969,0.920984,1.446742,1.153699,4.205988
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.282000,0.353875,0.265187,0.267563,0.293125,0.392094,0.548477,0.743279
"[distributeJob] UPDATE_MATRIX_STATUS /",0.280000,6.294750,0.248438,0.250813,0.252609,0.473977,0.303957,0.504893
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.207000,0.590000,0.230000,0.241000,0.208000,0.211000,0.208000,0.223000
"Distribute job completed.",5.572250,60.599750,423.928563,24.786500,8.845844,68.509516,23.406820,18.434492
"Clean buffer completed.",0.002750,0.001625,0.002125,0.001563,0.001125,0.001391,0.001379,0.001432
"Send headers completed.",0.242500,0.597750,0.610875,0.285719,0.203141,0.250555,0.215234,0.205213
"Open file completed.",0.021750,0.042875,0.050313,0.023125,0.016500,0.019562,0.017547,0.015697
"Output file completed.",0.718000,16.043000,49.259313,13.478937,1.978531,10.142156,2.014066,4.201437
"Program completed. Total",10.782750,81.439875,477.387375,41.637125,13.682297,83.173867,28.699309,26.004576
