Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.669250,0.595500,0.826125,0.561531,0.699531,2.160609,0.450305,0.315398
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.342500,1.933625,0.361875,0.344937,0.355234,0.352195,0.339477,0.415646
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.181000,0.176125,0.240562,8.012438,0.199859,1.111922,25.353395,1.386502
"getClientID completed.",1.437000,2.886625,1.681563,9.179219,1.464156,3.844688,26.360855,2.323189
"Read file completed.",0.007250,0.014000,0.021000,0.013531,0.012719,0.012977,0.012723,0.013016
"[updateStatus] MySQL connection established.",0.108000,0.093625,0.135875,0.147156,0.134766,0.161609,0.152586,0.159670
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.203000,0.323500,1.259563,11.167375,1.118719,6.431312,22.508664,14.752975
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.212000,0.187750,0.259500,4.734156,0.245422,1.224469,1.374938,1.569299
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.229750,0.170625,0.175250,0.186656,0.173563,0.169719,0.171945,0.186283
"updateStatus completed.",33.091250,26.984250,97.265000,111.813438,196.432875,192.622727,306.206141,125.892595
"Write file completed.",33.334750,27.291875,97.655437,112.188750,200.291047,224.345062,325.432320,137.281113
"[getGroupStatus] MySQL connection established.",0.075000,0.082625,0.101438,0.094063,0.099906,0.103516,0.118379,0.078643
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.262750,0.190250,0.280625,0.316531,0.312766,0.330594,0.385457,0.254811
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.216500,0.163375,0.243812,2.709375,0.392859,3.824156,12.697047,1.269805
"getGroupStatus completed.",0.742250,0.578875,0.834813,3.324844,1.168281,4.489867,13.490758,1.789621
"Merge request completed.",4.453500,3.555500,3.848727,4.032000,5.832000,7.618000,159.689000,13.082000
"Majority request completed.",2.859000,2.989000,1.039000,2.009000,24.997000,1.800000,3.581000,2.966000
"Program completed. Total",41.093750,34.727125,105.951250,128.024969,206.444953,235.540242,368.821250,142.664592
