Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.262000,0.209000,0.237187,0.223594,0.202922,0.239852,0.237254,0.232275
"First request sent",0.024250,0.026875,0.024688,0.033031,0.032500,0.033453,0.034648,0.032578
"Time from request to first response",,,,,,,,
"Response received",667.598750,601.302625,1587.352562,3532.546594,6654.251578,13937.531844,23476.649297,27027.067936
"File saved",0.444250,0.472625,0.459625,0.492094,0.457750,0.445016,0.400637,0.404361
"Command executed",1077.356250,1162.879625,1519.093687,2132.027812,3171.803641,5976.574508,15130.723660,48923.942943
"Second connection established",0.234000,0.236250,0.246563,0.251875,0.242469,0.227109,0.210766,0.206799
"Second request sent",0.024250,0.017875,0.025438,0.026688,0.026234,0.026789,0.026449,0.021309
"Result uploaded",0.054000,0.054375,0.064688,0.050281,0.055281,0.053461,0.056715,0.040355
"Process completed successfully. Total execution time",,,,,,,,
