Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.719750,0.667875,0.697875,0.292656,0.817125,7.547352,0.357621,0.311883
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.362000,1.271500,0.359250,0.319531,0.364766,0.415297,0.391277,0.435082
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.233750,0.191125,0.211438,0.214094,0.204547,0.224219,0.217289,0.235295
"getClientID completed.",1.541750,2.340500,1.476438,1.007812,1.609375,8.415133,1.162133,1.173896
"Read file completed.",0.013250,0.018750,0.011938,0.011688,0.012266,0.017055,0.012234,0.013064
"[updateStatus] MySQL connection established.",0.124000,0.119375,0.131125,0.114531,0.130969,0.148492,0.135980,0.149111
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.220250,0.213125,0.941000,0.646344,1.499031,3.077391,1.242156,3.754516
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.243000,0.216000,0.257437,0.237281,0.239406,0.259977,0.260348,2.469102
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.251250,0.198875,0.188500,0.170000,0.164094,0.167453,0.169887,0.186488
"updateStatus completed.",14.112000,34.259750,76.243500,94.245500,137.355906,181.023922,104.411266,83.422275
"Write file completed.",14.482750,34.602000,76.691750,94.670250,144.003484,187.349992,108.754230,95.798084
"[getGroupStatus] MySQL connection established.",0.069500,0.079625,0.087000,0.100500,0.099141,0.106594,0.091191,0.079037
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.240000,0.242375,0.265375,0.282875,0.296391,0.312133,0.283133,0.253064
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.190250,0.192875,0.229375,0.280625,0.398563,0.655656,0.837527,1.200666
"getGroupStatus completed.",0.622000,0.635500,0.742313,0.849938,0.997359,1.299320,1.450699,1.709408
"Merge request completed.",4.584000,4.720000,4.945667,5.251857,8.135950,5.807000,10.595000,46.376667
"Majority request completed.",2.953000,3.118000,2.356000,1.561000,1.006000,1.172000,4.637000,2.195000
"Program completed. Total",21.701000,41.411000,82.684313,100.173687,151.992359,199.978141,114.092730,103.434746
