Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.820250,0.853000,0.975938,0.885125,1.848078,1.193961,1.178914,1.109535
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",43.308750,2.572625,3.600938,3.235156,1.278422,1.067250,0.625492,0.826055
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.338250,0.315625,0.301875,0.286875,0.304781,0.356914,0.545559,0.698990
"[distributeJob] UPDATE_MATRIX_STATUS /",22.037500,0.280750,0.252188,0.239656,0.250000,0.272789,0.298270,0.416209
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.206000,0.232000,0.293000,0.217000,0.297000,0.204000,0.139000,0.232000
"Distribute job completed.",113.316000,5.921000,16.692000,14.846938,6.297906,34.819125,16.366676,13.162650
"Clean buffer completed.",0.001250,0.001375,0.001625,0.001344,0.001219,0.001398,0.001250,0.001338
"Send headers completed.",0.206250,0.226250,0.308688,0.252187,0.205781,0.222516,0.194590,0.197465
"Open file completed.",0.021000,0.034625,0.023313,0.021094,0.016078,0.024086,0.015352,0.015400
"Output file completed.",0.655500,0.974375,16.759812,3.426406,4.089859,8.059164,2.648480,3.421811
"Program completed. Total",120.087500,10.000000,36.935250,21.508031,13.462469,46.047523,22.239594,19.769102
