Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.230500,0.139750,0.271750,0.236937,0.235297,0.234102,0.230680,0.236652
"First request sent",0.019500,0.012250,0.030125,0.031281,0.032781,0.031625,0.034449,0.032020
"Time from request to first response",70.650250,0.607375,1.172063,0.025719,0.028266,0.028680,0.030848,0.028656
"Response received",380.907250,318.007375,1067.500250,2864.621312,4474.542000,11462.217156,19261.966090,24432.855541
"File saved",0.446500,0.360125,0.461938,0.446656,0.464406,0.432555,0.349930,0.393357
"Command executed",1016.830750,1166.497875,1267.855063,1794.634875,2243.033500,4356.333984,12257.352176,44469.882680
"Second connection established",0.262000,0.238250,0.245250,0.259594,0.237281,0.228391,0.215949,0.221439
"Second request sent",0.024500,0.022000,0.025375,0.025125,0.025359,0.026602,0.025344,0.016654
"Result uploaded",0.053500,0.053250,0.049125,0.048438,0.054062,0.054227,0.055223,0.030734
"Process completed successfully. Total execution time",1893.021750,2054.191125,3571.767563,7579.035969,12360.172141,27086.219805,57683.624520,123140.870057
