Pattern,Request Time (seconds),PHP Time (seconds)
W-1-256,0.859762,0.002025
W-1-256,1.017419,0.001651
W-1-256,0.499488,0.001992
W-1-256,0.708542,0.001928
W-1-256,1.491719,0.000867
W-1-256,0.785726,0.001965
W-1-256,0.399299,0.002059
W-1-256,0.472884,0.002016
W-1-256,0.275871,0.002074
W-1-256,0.630051,0.001381
W-1-256,0.279445,0.002352
W-1-256,0.518560,0.002042
W-1-256,0.275780,0.002069
W-1-256,1.039282,0.001531
W-1-256,0.590128,0.002075
W-1-256,0.772977,0.002015
W-1-256,0.623004,0.002055
W-1-256,0.698522,0.001951
W-1-256,0.322289,0.001993
W-1-256,1.431561,0.001972
W-1-256,0.988770,0.002171
W-1-256,0.637824,0.002037
W-1-256,0.609000,0.002005
W-1-256,0.545394,0.000682
W-1-256,0.581032,0.001800
W-1-256,0.311848,0.001945
W-1-256,0.751326,0.002047
W-1-256,0.458173,0.001984
W-1-256,0.652533,0.002021
W-1-256,1.365800,0.002045
W-1-256,1.083695,0.001646
W-1-256,0.625544,0.002033
W-1-256,0.825902,0.002193
W-1-256,1.213440,0.002023
W-1-256,0.920287,0.002005
W-1-256,0.726689,0.002191
W-1-256,0.585213,0.001957
W-1-256,0.853105,0.002096
W-1-256,1.225406,0.002089
W-1-256,0.252227,0.002289
W-1-256,0.900806,0.000948
W-1-256,0.581070,0.001924
W-1-256,0.664572,0.001953
W-1-256,1.547258,0.001814
W-1-256,0.506016,0.002050
W-1-256,0.539240,0.002057
W-1-256,0.552818,0.002053
W-1-256,1.109293,0.001996
W-1-256,1.168344,0.001947
W-1-256,0.876349,0.002129
W-1-256,1.222085,0.001939
W-1-256,0.364761,0.002170
W-1-256,0.674379,0.002134
W-1-256,0.347264,0.002034
W-1-256,0.970989,0.002037
W-1-256,0.333849,0.002033
W-1-256,0.930592,0.001772
W-1-256,0.589302,0.002038
W-1-256,0.762129,0.001620
W-1-256,1.049984,0.002010
W-1-256,0.306493,0.000722
W-1-256,1.337802,0.002233
W-1-256,0.613830,0.001998
W-1-256,1.930515,0.002039
W-1-256,0.361150,0.001933
W-1-256,0.547719,0.001980
W-1-256,1.359980,0.002023
W-1-256,0.692031,0.001602
W-1-256,0.764461,0.002052
W-1-256,0.230455,0.002026
W-1-256,1.052490,0.002074
W-1-256,1.780277,0.001978
W-1-256,0.249046,0.002006
W-1-256,0.389731,0.002014
W-1-256,0.442651,0.001959
W-1-256,0.287923,0.001729
W-1-256,1.031537,0.002138
W-1-256,0.918848,0.002067
W-1-256,0.680914,0.001990
W-1-256,1.756063,0.002020
W-1-256,1.578376,0.002133
W-1-256,0.680308,0.002110
W-1-256,1.615208,0.001929
W-1-256,1.270637,0.001965
W-1-256,0.598972,0.001684
W-1-256,0.859472,0.001937
W-1-256,0.390642,0.000794
W-1-256,0.722286,0.000947
W-1-256,0.584124,0.002145
W-1-256,0.580163,0.002055
W-1-256,0.767169,0.002034
W-1-256,1.092432,0.001808
W-1-256,0.369047,0.001826
W-1-256,0.625341,0.002049
W-1-256,0.791017,0.001995
W-1-256,0.539631,0.002030
W-1-256,0.659840,0.001967
W-1-256,0.270710,0.002023
W-1-256,0.978941,0.001768
W-1-256,0.551183,0.002180
W-1-256,0.977421,0.002036
W-1-256,0.537677,0.002060
W-1-256,0.622547,0.001969
W-1-256,0.993899,0.002121
W-1-256,0.620698,0.001782
W-1-256,0.341281,0.002010
W-1-256,0.519752,0.002106
W-1-256,1.089048,0.001970
W-1-256,0.589470,0.002032
W-1-256,0.556319,0.002063
W-1-256,0.677032,0.001964
W-1-256,1.237571,0.001945
W-1-256,0.946907,0.001467
W-1-256,0.761017,0.002149
W-1-256,0.929884,0.002059
W-1-256,0.524997,0.002023
W-1-256,0.779226,0.002052
W-1-256,0.248644,0.002054
W-1-256,0.419347,0.002163
W-1-256,0.581697,0.002148
W-1-256,1.180481,0.001978
W-1-256,0.738333,0.001984
W-1-256,1.037397,0.001423
W-1-256,0.617188,0.001973
W-1-256,0.551468,0.002008
W-1-256,0.743297,0.002016
W-1-256,1.277782,0.001941
W-1-256,1.515191,0.002007
W-1-256,1.168789,0.001942
W-1-256,1.079757,0.002119
W-1-256,0.808716,0.002012
W-1-256,0.317279,0.002186
W-1-256,1.407463,0.001859
W-1-256,0.899517,0.002076
W-1-256,0.585265,0.001894
W-1-256,0.812779,0.002022
W-1-256,0.552397,0.002144
W-1-256,0.634993,0.000897
W-1-256,0.529689,0.000925
W-1-256,0.551680,0.000965
W-1-256,0.411827,0.002064
W-1-256,0.526318,0.002121
W-1-256,0.505294,0.000738
W-1-256,0.390426,0.002071
W-1-256,0.347215,0.002020
W-1-256,1.006373,0.001978
W-1-256,0.774565,0.002028
W-1-256,0.210884,0.002018
W-1-256,0.338479,0.002120
W-1-256,0.230006,0.002258
W-1-256,1.006599,0.002006
W-1-256,0.859638,0.002269
W-1-256,0.777169,0.001958
W-1-256,0.661360,0.002022
W-1-256,0.469331,0.001994
W-1-256,0.625002,0.000799
W-1-256,0.731116,0.000903
W-1-256,1.157241,0.002162
W-1-256,1.580026,0.001815
W-1-256,0.556138,0.001968
W-1-256,0.729958,0.002042
W-1-256,0.968342,0.001979
W-1-256,0.494705,0.001419
W-1-256,1.013720,0.000854
W-1-256,1.685742,0.001990
W-1-256,0.594892,0.002142
W-1-256,1.481942,0.001552
