Pattern,Request Time (seconds),PHP Time (seconds)
W-1-512,1.327369,0.001987
W-1-512,0.619755,0.001894
W-1-512,0.319909,0.002087
W-1-512,1.340002,0.001984
W-1-512,1.618835,0.002112
W-1-512,0.330571,0.001662
W-1-512,1.084336,0.001619
W-1-512,0.847922,0.001968
W-1-512,1.948330,0.001981
W-1-512,1.618782,0.002042
W-1-512,1.937254,0.001920
W-1-512,0.273080,0.000795
W-1-512,0.872967,0.001753
W-1-512,0.569555,0.002061
W-1-512,0.862934,0.001947
W-1-512,0.350808,0.001932
W-1-512,1.901594,0.001783
W-1-512,0.751057,0.002027
W-1-512,1.108109,0.001962
W-1-512,0.853156,0.001902
W-1-512,0.935433,0.001951
W-1-512,0.888509,0.002031
W-1-512,0.530874,0.002044
W-1-512,0.965787,0.000868
W-1-512,1.882805,0.001992
W-1-512,1.107870,0.001482
W-1-512,1.948194,0.001937
W-1-512,0.505811,0.001771
W-1-512,1.836853,0.001980
W-1-512,0.841057,0.002108
W-1-512,0.881539,0.001950
W-1-512,0.694865,0.000886
W-1-512,1.134580,0.001896
W-1-512,0.794640,0.002285
W-1-512,1.315818,0.000910
W-1-512,1.379843,0.000882
W-1-512,1.518025,0.001876
W-1-512,0.946856,0.002035
W-1-512,1.638124,0.002020
W-1-512,0.395721,0.002012
W-1-512,0.695206,0.001961
W-1-512,1.379266,0.001919
W-1-512,1.590139,0.002006
W-1-512,1.186853,0.001889
W-1-512,1.498898,0.001992
W-1-512,0.590457,0.000807
W-1-512,0.674831,0.002069
W-1-512,1.193990,0.001984
W-1-512,1.855942,0.001848
W-1-512,1.234021,0.002008
W-1-512,1.447181,0.001912
W-1-512,0.273282,0.001907
W-1-512,1.344855,0.001999
W-1-512,1.711780,0.002085
W-1-512,1.078839,0.002047
W-1-512,1.469624,0.001735
W-1-512,2.037858,0.002045
W-1-512,0.164209,0.001215
W-1-512,0.811615,0.001868
W-1-512,0.763710,0.002001
W-1-512,1.773747,0.002278
W-1-512,0.603471,0.000845
W-1-512,1.855184,0.001945
W-1-512,0.517109,0.001952
W-1-512,0.741696,0.002064
W-1-512,1.930542,0.001869
W-1-512,1.878350,0.001786
W-1-512,1.040432,0.001969
W-1-512,0.852215,0.001510
W-1-512,1.022695,0.001755
W-1-512,0.516862,0.001410
W-1-512,0.963219,0.001987
W-1-512,0.690929,0.001968
W-1-512,1.805823,0.001943
W-1-512,0.921020,0.000509
W-1-512,1.039633,0.001901
W-1-512,1.602267,0.001684
W-1-512,1.236376,0.000874
W-1-512,1.090645,0.002015
W-1-512,1.752399,0.001909
W-1-512,1.909759,0.001996
W-1-512,0.969296,0.002023
W-1-512,0.834684,0.000969
W-1-512,1.412389,0.001971
W-1-512,1.574627,0.001786
W-1-512,0.672458,0.001991
W-1-512,0.674567,0.000926
W-1-512,0.502136,0.002060
