Pattern,Request Time (seconds),PHP Time (seconds)
W-1-64,0.413721,0.002026
W-1-64,0.473504,0.001438
W-1-64,0.460662,0.001989
W-1-64,0.553784,0.001906
W-1-64,0.318914,0.000954
W-1-64,0.377106,0.001884
W-1-64,0.383338,0.001336
W-1-64,0.263484,0.002065
W-1-64,0.353830,0.002067
W-1-64,0.241925,0.002107
W-1-64,0.444364,0.001976
W-1-64,0.404445,0.002031
W-1-64,0.456507,0.002061
W-1-64,0.324116,0.002090
W-1-64,0.248010,0.002255
W-1-64,0.508132,0.002185
W-1-64,0.313291,0.001931
W-1-64,0.553805,0.002116
W-1-64,0.453368,0.002029
W-1-64,0.508191,0.002231
W-1-64,0.477411,0.001959
W-1-64,0.282924,0.002100
W-1-64,0.445946,0.002052
W-1-64,0.232589,1.002114
W-1-64,0.351761,0.002021
W-1-64,0.445122,0.001933
W-1-64,0.420158,0.001924
W-1-64,0.334706,0.002077
W-1-64,0.388994,0.002109
W-1-64,0.397247,0.002126
W-1-64,0.309592,0.001935
W-1-64,0.318578,0.002072
W-1-64,0.323760,0.001974
W-1-64,0.254997,0.002055
W-1-64,0.284970,0.002182
W-1-64,0.326809,0.001651
W-1-64,0.439855,0.001351
W-1-64,0.292765,0.002018
W-1-64,0.280040,0.001552
W-1-64,0.383266,0.001155
W-1-64,0.527031,0.001749
W-1-64,0.502279,0.002040
W-1-64,0.508319,0.002137
W-1-64,0.430536,0.002096
W-1-64,0.360848,0.001943
W-1-64,0.463002,0.002121
W-1-64,0.394331,0.001906
W-1-64,0.442384,0.000936
W-1-64,0.274870,0.002240
W-1-64,0.417767,0.001931
W-1-64,0.442665,0.002080
W-1-64,0.547366,0.002095
W-1-64,0.259646,0.001984
W-1-64,0.488357,0.001992
W-1-64,0.335076,0.001948
W-1-64,0.453206,0.001949
W-1-64,0.397165,0.001448
W-1-64,0.324226,0.001456
W-1-64,0.340902,0.002127
W-1-64,0.312719,0.002050
W-1-64,0.518505,0.001982
W-1-64,0.488813,0.001970
W-1-64,0.293527,0.002091
W-1-64,0.293850,0.002085
