Pattern,Request Time (seconds),PHP Time (seconds)
W-1-128,0.689434,0.001979
W-1-128,0.470261,0.002086
W-1-128,0.592683,0.002002
W-1-128,0.334740,0.002019
W-1-128,0.522881,0.002051
W-1-128,0.290091,0.002308
W-1-128,0.410743,0.002382
W-1-128,0.907520,0.001996
W-1-128,0.215316,0.001022
W-1-128,0.152661,0.001707
W-1-128,0.458502,0.001475
W-1-128,0.625566,0.001965
W-1-128,0.155128,0.002076
W-1-128,0.384662,0.001111
W-1-128,0.683829,0.000942
W-1-128,0.170281,0.002126
W-1-128,0.653849,0.001919
W-1-128,0.369333,0.002141
W-1-128,0.354415,0.001836
W-1-128,0.782634,0.001978
W-1-128,0.342184,0.002130
W-1-128,0.185972,0.000876
W-1-128,0.427628,0.001889
W-1-128,0.369947,0.001121
W-1-128,0.637251,0.001989
W-1-128,0.597005,0.001935
W-1-128,1.020461,0.002089
W-1-128,0.609653,0.002050
W-1-128,0.823505,0.001680
W-1-128,0.887430,0.001986
W-1-128,0.173653,0.000815
W-1-128,0.515747,0.001933
W-1-128,0.431951,0.000853
W-1-128,0.482833,0.002188
W-1-128,0.187000,0.000938
W-1-128,0.819332,0.002473
W-1-128,0.315406,0.002003
W-1-128,0.590591,0.002047
W-1-128,0.170502,0.001835
W-1-128,0.577632,0.002032
W-1-128,0.884574,0.001914
W-1-128,0.658785,0.001896
W-1-128,0.318453,0.002003
W-1-128,0.508831,0.001695
W-1-128,0.449441,0.001968
W-1-128,0.358201,0.002050
W-1-128,0.569051,0.002601
W-1-128,0.524739,0.001369
W-1-128,0.186718,0.002140
W-1-128,0.152876,0.002047
W-1-128,0.143059,0.002060
W-1-128,0.516587,0.001996
W-1-128,0.283321,0.001923
W-1-128,0.645229,0.002032
W-1-128,0.842140,0.001908
W-1-128,0.774374,0.002135
W-1-128,0.490767,0.001932
W-1-128,0.451265,0.001955
W-1-128,0.714657,0.001246
W-1-128,0.407202,0.002074
W-1-128,0.489248,0.001943
W-1-128,0.370118,0.002097
W-1-128,0.142810,0.002092
W-1-128,0.727237,0.002074
W-1-128,0.515717,0.002081
W-1-128,0.239524,0.001927
W-1-128,0.183900,0.002233
W-1-128,0.369097,0.002005
W-1-128,0.540740,0.002011
W-1-128,0.354283,0.001713
W-1-128,0.318051,0.002048
W-1-128,0.653532,0.001951
W-1-128,0.579627,0.001310
W-1-128,0.451159,0.000908
W-1-128,0.940023,0.001201
W-1-128,0.459431,0.001981
W-1-128,0.609606,0.002054
W-1-128,0.564373,0.001943
W-1-128,0.212009,0.001980
W-1-128,0.416633,0.001974
W-1-128,0.514281,0.001371
W-1-128,0.884762,0.002040
W-1-128,0.327886,0.000953
W-1-128,0.193408,0.001972
W-1-128,0.560379,0.002001
W-1-128,0.576506,0.001857
W-1-128,0.186760,0.002010
W-1-128,0.383919,0.001913
W-1-128,0.490681,0.002067
W-1-128,0.880697,0.002808
W-1-128,1.020487,0.002120
W-1-128,0.460197,0.001985
W-1-128,0.124269,0.001606
W-1-128,0.313179,0.001958
W-1-128,0.701904,0.002023
W-1-128,0.141579,0.002136
W-1-128,0.318202,0.002031
W-1-128,0.115180,0.001834
W-1-128,0.369069,0.001575
W-1-128,0.445294,0.001752
W-1-128,0.332544,0.001109
W-1-128,0.843972,0.001922
W-1-128,0.510328,0.001973
W-1-128,0.738215,0.001913
W-1-128,0.389534,0.002019
W-1-128,0.831582,0.002057
W-1-128,0.655451,0.002005
W-1-128,0.496632,0.002035
W-1-128,0.197097,0.001990
W-1-128,0.186447,0.000927
W-1-128,0.152758,0.001919
W-1-128,0.564068,0.001937
W-1-128,0.388768,0.001912
W-1-128,0.354748,0.002005
W-1-128,0.313593,0.002041
W-1-128,0.654092,0.002065
W-1-128,0.329219,0.001941
W-1-128,0.588259,0.002263
W-1-128,0.125378,0.002229
W-1-128,0.879033,0.002103
W-1-128,0.504366,0.001950
W-1-128,0.554739,0.002058
W-1-128,0.617216,0.001930
W-1-128,0.603060,0.001989
W-1-128,0.590388,0.001992
W-1-128,0.737460,0.001454
W-1-128,0.122808,0.002096
W-1-128,0.419894,0.001925
