Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.700500,0.833250,0.936062,0.814781,2.633438,1.193164,1.333152,1.047502
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",17.972750,20.971125,2.806000,1.968781,1.504406,0.879297,2.725648,0.694687
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.332000,0.316625,0.293062,0.282062,0.327453,0.382109,0.504664,0.789623
"[distributeJob] UPDATE_MATRIX_STATUS /",6.428500,2.740500,0.270250,0.248438,0.266406,0.282227,1.675016,0.653871
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.470000,0.501000,0.208000,0.228000,0.214000,0.178000,0.204000,0.263000
"Distribute job completed.",70.754000,91.368000,18.075875,16.432000,49.536672,11.983570,41.967508,16.032027
"Clean buffer completed.",0.002500,0.002000,0.001438,0.001375,0.001516,0.002016,0.001391,0.001398
"Send headers completed.",0.316500,0.439875,0.249875,0.253688,0.265031,0.194672,0.226109,0.197348
"Open file completed.",0.026000,0.033000,0.028500,0.019906,0.020953,0.015258,0.017414,0.014928
"Output file completed.",0.860000,6.016625,0.715437,7.787188,12.212813,4.332617,3.107809,2.690623
"Program completed. Total",75.834500,101.225375,22.002750,27.303688,65.138531,19.566914,48.866434,21.930676
