Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.685500,0.675000,0.723937,0.420531,0.724141,2.171898,0.273520,0.328895
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.336500,2.583125,0.344375,0.320000,0.341813,0.359688,0.319664,0.425773
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.198000,0.223625,0.219875,0.202906,0.199453,0.217242,54.794234,0.654252
"getClientID completed.",1.384500,3.706000,1.527062,1.125531,1.466391,2.974484,56.664902,1.607422
"Read file completed.",0.011000,0.010750,0.021812,0.010875,0.012844,0.012625,0.013250,0.013650
"[updateStatus] MySQL connection established.",0.113500,0.108750,0.117125,0.106969,0.121578,0.137898,0.180273,0.141859
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.209750,0.303000,0.790937,0.590906,1.158047,1.711969,55.066235,15.898785
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.231750,0.229625,0.227875,0.237531,0.224812,0.245695,4.557941,0.251740
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.234750,0.197750,0.178500,0.166125,0.163562,0.165039,0.164418,0.182590
"updateStatus completed.",26.120750,19.731250,29.828438,110.401562,176.130000,120.025727,361.608996,64.301864
"Write file completed.",26.587250,20.130875,30.155625,110.788469,179.622719,121.831766,425.040902,69.813561
"[getGroupStatus] MySQL connection established.",0.074500,0.073875,0.069500,0.121688,0.098734,0.092852,0.099078,0.076371
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.263250,0.226250,0.231750,0.317906,0.309281,0.299609,0.317070,0.261529
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.290250,0.199875,0.223937,0.330594,0.411938,0.531594,24.193309,1.198881
"getGroupStatus completed.",0.776250,0.615625,0.663188,0.959750,1.011016,1.195078,25.167086,1.721643
"Merge request completed.",4.170333,4.413000,4.774000,11.854375,5.777000,4.939000,7.942000,16.014000
"Majority request completed.",2.761000,2.892000,3.018000,1.931000,2.069000,1.813000,1.681000,3.134000
"Program completed. Total",35.485000,28.717125,35.719812,121.355438,185.252047,128.891836,457.479500,75.772833
