Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.260750,0.160000,0.252188,0.228906,0.219969,0.231852,0.232934,0.227164
"First request sent",0.025000,0.006000,0.029000,0.030313,0.033297,0.034625,0.032801,0.031971
"Time from request to first response",58.690500,89.313875,0.704500,0.027813,0.758625,0.029945,0.028832,0.028627
"Response received",550.903750,583.422625,1067.616000,2864.809312,4493.039141,9995.041039,18786.285520,26909.024938
"File saved",0.459500,0.400125,0.459937,0.474563,0.485188,0.462227,0.368105,0.390414
"Command executed",1079.185000,1157.557250,1236.285625,1568.070937,2354.688109,4709.580742,11509.767563,48565.200500
"Second connection established",0.241000,0.185875,0.228125,0.241125,0.233297,0.236148,0.220359,0.214012
"Second request sent",0.024500,0.022500,0.026438,0.026375,0.026516,0.025562,0.024941,0.019584
"Result uploaded",0.053000,0.050000,0.053813,0.054000,0.055031,0.054773,0.054414,0.035768
"Process completed successfully. Total execution time",2195.428000,2331.181750,3510.894812,6820.970781,11345.541531,26753.573586,56468.746781,136477.290750
