Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.237500,0.195625,0.206187,0.194406,0.226125,0.213352,0.233984,0.229650
"First request sent",0.025000,0.009500,0.033625,0.031688,0.033328,0.032594,0.033867,0.031189
"Time from request to first response",13.877750,46.740000,132.317250,0.024625,0.030500,0.030398,0.029789,0.028861
"Response received",777.814000,1032.097000,1252.168125,2230.766625,6946.341063,9075.259531,19139.657617,21914.483049
"File saved",0.447000,0.467000,0.461125,0.459750,0.460719,0.409539,0.393445,0.391582
"Command executed",943.500250,1185.564375,1256.947750,1712.703062,2633.990437,5433.749805,15258.575820,48001.055295
"Second connection established",0.252250,0.248375,0.234000,0.220469,0.228531,0.208758,0.213516,0.216727
"Second request sent",0.023750,0.025000,0.022938,0.025688,0.026391,0.025477,0.025195,0.019500
"Result uploaded",0.042250,0.053750,0.052625,0.054875,0.055109,0.053844,0.056969,0.035018
"Process completed successfully. Total execution time",2232.038000,2820.211875,3743.595438,6001.787031,17071.575953,26790.909086,61448.698844,120638.362191
