Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.842250,0.876000,0.815250,0.749250,1.628766,1.170734,1.034559,1.080035
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.762500,2.570875,6.837687,1.896281,1.190359,1.557984,0.957234,0.738811
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.262500,0.308375,0.311187,0.272219,0.328469,0.393039,0.484816,0.717504
"[distributeJob] UPDATE_MATRIX_STATUS /",1.068500,0.280625,1.402625,0.230375,0.274000,0.282477,0.441258,0.506648
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.258000,0.325000,0.372000,0.229000,0.216000,0.298000,0.145000,0.217000
"Distribute job completed.",41.108500,52.922500,180.002750,15.364687,8.921844,18.435359,16.758703,15.029236
"Clean buffer completed.",0.002000,0.001875,0.002188,0.001344,0.001328,0.001320,0.001324,0.001475
"Send headers completed.",0.351750,0.402625,0.723125,0.252188,0.219219,0.221562,0.207270,0.203795
"Open file completed.",0.030500,0.032250,0.048938,0.021344,0.016844,0.016727,0.015887,0.015445
"Output file completed.",0.913500,7.494875,59.215000,2.089406,1.980297,3.760648,2.977238,4.434592
"Program completed. Total",46.545500,64.086000,243.342188,20.527406,14.310031,25.501188,23.013437,22.556020
