Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.252500,0.214125,0.162438,0.219531,0.232844,0.256617,0.242098,0.235547
"First request sent",0.034000,0.020000,0.026625,0.032625,0.033953,0.035070,0.033895,0.032275
"Time from request to first response",0.030500,46.453125,11.192000,0.023063,0.030656,1.188367,0.029180,0.029514
"Response received",666.733250,635.982625,1292.832437,2038.785562,6757.702422,13133.607703,19882.897313,25094.482258
"File saved",0.467500,0.409875,0.474812,0.471313,0.467344,0.454328,0.353066,0.388035
"Command executed",1023.292000,1267.048000,1696.333187,1765.332000,1855.376609,5336.391453,12030.975699,48558.574848
"Second connection established",0.246000,0.243875,0.223875,0.237187,0.233500,0.228391,0.217523,0.208582
"Second request sent",0.025500,0.022750,0.025688,0.026375,0.024734,0.026727,0.025227,0.020256
"Result uploaded",0.053500,0.036625,0.053938,0.052969,0.058250,0.053773,0.054906,0.039006
"Process completed successfully. Total execution time",2388.842000,2682.751125,4432.296875,6586.337281,14798.969328,31137.645789,60649.606832,130442.002369
