Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.890250,0.862375,0.927937,0.837156,2.651469,2.175969,1.144559,1.072867
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.057750,1.979125,15.964375,1.231188,3.174359,1.814430,0.722984,0.681916
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.292250,0.251625,0.287563,0.286750,,0.380109,0.476117,0.683160
"[distributeJob] UPDATE_MATRIX_STATUS /",0.307750,0.227750,3.177063,0.254688,2.002875,0.890672,0.261738,0.372135
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.229000,0.262000,0.207000,0.190000,0.150000,0.121000,0.203000,0.215000
"Distribute job completed.",5.409000,6.687125,90.101063,6.711781,18.455641,15.959102,38.892012,18.121084
"Clean buffer completed.",0.001750,0.001625,0.001563,0.001375,0.001297,0.001383,0.001297,0.001350
"Send headers completed.",0.249500,0.272250,0.472438,0.257719,0.235219,0.241742,0.209559,0.201242
"Open file completed.",0.022500,0.023875,0.036313,0.018063,0.025906,0.018320,0.015477,0.015697
"Output file completed.",0.716500,0.720500,37.136625,9.167000,0.152203,6.172594,4.800270,3.372172
"Program completed. Total",10.216750,11.225625,130.953312,18.977906,21.674781,25.335727,46.875984,24.535922
