Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.705750,0.790250,0.774312,0.446906,,0.247633,0.396000,0.327617
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.334500,1.555875,0.358938,0.336000,,0.310516,0.376855,0.416361
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.198250,0.230625,0.218125,0.215094,,0.827953,0.207781,0.300867
"getClientID completed.",1.362500,2.752125,1.550063,1.192250,,1.553953,1.157566,1.242234
"Read file completed.",0.012500,0.017500,0.021000,0.013250,,0.010766,0.011809,0.013209
"[updateStatus] MySQL connection established.",0.100750,0.151125,0.123125,0.129469,,0.151055,0.199082,0.141557
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.197250,0.275250,0.977938,1.252250,,18.903422,198.369766,1.600117
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.230250,0.291750,0.241187,0.249531,,1.806836,0.529809,0.307426
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.221500,0.219000,0.180000,0.182688,,0.162164,0.176059,0.179020
"updateStatus completed.",11.855000,28.886875,66.189687,83.512156,,242.941891,369.926298,73.416566
"Write file completed.",12.103000,29.200750,66.537625,84.796406,,264.468164,407.892495,80.180785
"[getGroupStatus] MySQL connection established.",0.066750,0.086000,0.137000,0.092625,,0.112625,0.128691,0.082277
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.236500,0.236625,0.303687,0.278750,,0.356430,0.384582,0.263967
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.223500,0.179125,0.274813,0.298687,,2.256984,2.585570,1.414170
"getGroupStatus completed.",0.635250,0.665250,0.888125,0.832250,,2.993430,3.373160,1.959346
"Merge request completed.",4.356000,4.535500,4.204917,4.492941,,34.362847,11.678000,14.590500
"Majority request completed.",2.929000,2.828000,2.089000,1.920000,,1.597000,2.090000,2.968000
"Program completed. Total",18.855750,36.612750,75.205938,92.055063,,290.923625,415.569820,86.081412
