Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.250750,0.240750,0.228500,0.222500,0.225094,0.234430,0.235031,0.230559
"First request sent",0.025500,0.027750,0.033063,0.034406,0.034922,0.032297,0.033297,0.031875
"Time from request to first response",0.028500,0.029875,16.153625,0.030688,0.016938,0.030484,0.030027,0.028504
"Response received",571.710250,862.683750,1111.133687,2687.313719,1331.197078,10410.519812,17291.850465,26172.234320
"File saved",0.443000,0.521250,0.432188,0.407719,0.161734,0.447539,0.385754,0.398268
"Command executed",1168.067000,1182.319625,1283.051312,1811.871969,2.499406,4493.579398,13795.821594,62792.342225
"Second connection established",0.295000,0.229750,0.225625,0.236031,0.246078,0.228797,0.224039,0.219707
"Second request sent",0.024750,0.025125,0.025625,0.026031,0.026234,0.024102,0.025652,0.019658
"Result uploaded",0.056750,0.053375,0.053188,0.055094,0.032187,0.052914,0.054379,0.036357
"Process completed successfully. Total execution time",2321.638250,2927.763750,3609.372188,6993.031812,6627.610828,25896.919359,57308.858094,149674.418902
