Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.643250,0.606750,0.836438,0.246563,0.620578,3.184937,0.493043,0.328467
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.345500,1.418375,0.350875,0.325781,0.317891,0.363266,0.354121,0.417230
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.187750,0.186875,0.200813,0.224437,0.176609,0.206711,126.316730,0.292059
"getClientID completed.",1.302000,2.345000,1.579625,0.995938,1.285516,3.961594,127.528310,1.235256
"Read file completed.",0.007000,0.014500,0.010813,0.012656,0.010031,0.012406,0.012828,0.012916
"[updateStatus] MySQL connection established.",0.098500,0.096125,0.115750,0.132719,0.159078,0.124906,0.194887,0.144467
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.438250,0.192250,0.704687,1.143438,7.921719,3.617117,111.682410,1.700100
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.247250,0.196375,0.245563,0.252281,0.253641,0.703430,5.440149,0.258699
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.216500,0.189375,0.184500,0.175125,0.161969,0.168859,0.179074,0.179855
"updateStatus completed.",28.705750,16.236750,85.635312,39.244906,349.283938,136.937758,368.139188,64.965012
"Write file completed.",28.953750,16.512375,85.987937,39.621625,427.490750,137.675773,377.821969,76.205648
"[getGroupStatus] MySQL connection established.",0.069750,0.071625,0.091688,0.076781,0.091641,0.102141,0.118020,0.076057
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.257750,0.268500,0.285375,0.267875,0.285484,0.304242,0.342633,0.248666
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.219000,0.243000,0.265438,0.259406,0.395547,0.529055,79.167656,1.152016
"getGroupStatus completed.",0.682750,0.711375,0.824562,0.768750,0.954594,1.144453,85.120070,1.652510
"Merge request completed.",4.616000,4.656000,4.698364,3.943500,11.828871,9.373667,11.974200,15.135500
"Majority request completed.",3.074000,2.898000,1.506000,1.845000,1.544000,1.259000,1.027000,3.112000
"Program completed. Total",37.001750,22.813750,94.382875,44.431031,437.993906,146.878672,444.433084,81.742031
