Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.199250,0.226125,0.152562,0.202406,0.227094,0.230273,0.235602,0.237492
"First request sent",0.025000,0.022250,0.025625,0.031563,0.031047,0.033289,0.033938,0.031471
"Time from request to first response",7.164500,0.029750,9.000687,0.031656,0.030062,0.029023,0.029828,0.029211
"Response received",771.252250,825.273625,1167.788500,2393.989625,4686.983422,11873.644727,20131.551582,26073.801486
"File saved",0.445000,0.464750,0.489125,0.454719,0.485469,0.439063,0.362516,0.400090
"Command executed",1004.865500,1183.051375,1375.855187,1721.834531,2417.038469,4173.957992,12810.977543,58114.976414
"Second connection established",0.240250,0.223750,0.218375,0.232625,0.240297,0.220781,0.218750,0.262205
"Second request sent",0.025000,0.024375,0.024688,0.025781,0.023234,0.025102,0.025863,0.016783
"Result uploaded",0.055500,0.043000,0.049500,0.052344,0.051406,0.054383,0.053340,0.028561
"Process completed successfully. Total execution time",2370.714500,2773.279125,3464.464937,6452.904750,11807.676109,26711.721953,60118.550062,143091.544148
