Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.844750,0.882375,0.824812,0.810563,2.004656,1.272906,1.105414,1.045141
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.039750,1.458750,110.822812,5.521312,1.106625,0.888984,0.710187,0.794479
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.297000,0.278375,0.347000,,0.333266,0.377641,0.494164,0.716281
"[distributeJob] UPDATE_MATRIX_STATUS /",0.285250,0.266500,12.439000,2.060813,0.271172,0.278273,0.342289,0.549037
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.200000,0.104000,0.183000,0.164500,0.117000,0.170000,0.205000,0.224000
"Distribute job completed.",5.081750,22.711125,216.783563,20.028406,11.372703,10.970664,31.411914,17.603207
"Clean buffer completed.",0.001750,0.001250,0.001750,0.001344,0.001391,0.001359,0.001438,0.001314
"Send headers completed.",0.183500,0.185500,0.436375,0.236938,0.211578,0.200984,0.215445,0.206990
"Open file completed.",0.016000,0.016875,0.046188,0.020469,0.017531,0.015172,0.023145,0.015160
"Output file completed.",0.719500,0.879250,20.860437,0.159281,2.700703,3.384820,7.920297,3.811246
"Program completed. Total",9.712250,26.758500,241.212625,23.252656,17.306078,17.624031,42.611605,24.669650
