Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.269250,0.225375,0.201812,0.195594,0.220531,0.239508,0.225547,0.234088
"First request sent",0.025000,0.018250,0.033750,0.034375,0.036016,0.033820,0.033711,0.031869
"Time from request to first response",0.029500,15.196125,161.322125,0.016563,0.031500,0.029375,0.439984,0.029326
"Response received",836.682750,362.414625,1432.606750,736.874531,5894.047234,11801.746898,19659.067121,28028.221787
"File saved",0.490250,0.391500,0.463250,0.175031,0.493406,0.426180,0.363277,0.402738
"Command executed",1049.873750,1211.709375,1346.745812,2.775031,3112.202750,3806.275234,11891.417977,56080.347391
"Second connection established",0.254500,0.256125,0.247688,0.209937,0.211359,0.206922,0.207828,0.212732
"Second request sent",0.024750,0.022500,0.022875,0.026875,0.026062,0.024469,0.025754,0.020652
"Result uploaded",0.055250,0.052375,0.076937,0.036344,0.054875,0.053266,0.061711,0.038057
"Process completed successfully. Total execution time",2599.828000,2042.211500,3842.898187,3525.163906,14668.941531,26767.560086,56273.295313,147852.156424
