Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.820250,0.957875,0.941875,0.763219,1.377125,1.162562,1.523750,0.997855
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.745250,1.679375,185.810250,2.381656,1.942937,1.318422,0.675328,4.304900
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.379750,0.321500,0.375437,0.261438,0.329156,0.369938,0.496062,1.288102
"[distributeJob] UPDATE_MATRIX_STATUS /",13.295750,0.284500,16.988125,0.226094,0.270781,0.291969,0.270063,2.070297
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.398000,0.200000,0.506000,0.316000,0.179000,0.286000,0.237000,0.281000
"Distribute job completed.",40.639750,445.486375,226.538063,16.920031,7.928609,37.553547,21.563078,22.142016
"Clean buffer completed.",0.002000,0.001500,0.001938,0.001344,0.002000,0.001297,0.001281,0.001449
"Send headers completed.",0.332250,0.384500,0.509938,0.268594,0.254469,0.249969,0.195090,0.207252
"Open file completed.",0.033750,0.046750,0.042437,0.021813,0.023031,0.019781,0.015488,0.015787
"Output file completed.",0.797250,27.680875,30.714000,6.055969,2.853297,3.785789,3.384871,3.445047
"Program completed. Total",45.872750,477.049750,261.341375,26.055906,14.144937,50.550406,28.114781,28.814520
