Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.230750,0.235250,0.169687,0.180938,0.227422,0.226906,0.228570,0.229064
"First request sent",0.024750,0.022500,0.033000,0.032344,0.033469,0.034062,0.032992,0.032393
"Time from request to first response",0.029500,394.555500,187.903000,0.028219,0.031156,0.030328,0.029664,0.029221
"Response received",742.314500,1241.705000,1342.057250,2084.792000,5187.446953,13177.450344,16772.329320,21558.886033
"File saved",0.452750,0.480500,0.471625,0.481938,0.466375,0.475430,0.392234,0.394666
"Command executed",1018.206000,1175.087625,1204.669937,1646.099781,3209.715531,4685.686445,14267.512949,58795.210428
"Second connection established",0.186750,0.226250,0.254812,0.221969,0.223984,0.208133,0.223785,0.217412
"Second request sent",0.026000,0.015875,0.023625,0.025469,0.026797,0.026109,0.025770,0.020959
"Result uploaded",0.043000,0.037625,0.048875,0.053563,0.055453,0.049539,0.054250,0.043418
"Process completed successfully. Total execution time",2447.815250,3131.835625,3500.113687,5885.537563,14658.809266,30125.892734,59605.101504,131638.361146
