Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.728000,0.687250,0.713500,0.212906,0.753422,3.740187,0.400508,0.322885
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.357000,1.999500,0.365000,0.301812,0.351703,0.574359,0.399063,0.400090
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.200250,0.188375,0.210563,0.199750,0.215938,4.498844,24.815965,3.406547
"getClientID completed.",1.456750,3.064375,1.487062,0.874500,1.539328,9.031945,25.826465,4.324732
"Read file completed.",0.019750,0.017875,0.012625,0.011000,0.016203,0.011656,0.012383,0.012791
"[updateStatus] MySQL connection established.",0.111750,0.101125,0.134438,0.107375,0.162531,0.157328,0.158938,0.164674
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.211500,0.211875,0.772625,0.427750,1.962734,74.827742,260.133535,51.726096
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.236000,0.201375,0.248438,0.224406,0.249547,2.743313,4.536844,3.346131
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.230000,0.185250,0.188938,0.175000,0.162078,0.165500,0.179867,0.183020
"updateStatus completed.",24.914250,60.863625,34.995125,69.451437,157.821516,276.238313,394.989283,173.501882
"Write file completed.",25.240750,61.205500,35.341937,69.821125,168.933234,320.939938,401.834555,196.195000
"[getGroupStatus] MySQL connection established.",0.067250,0.070125,0.088062,0.094562,0.098906,0.096250,0.099387,0.089459
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.280500,0.268375,0.285313,0.265531,0.292766,0.352078,0.324785,0.276834
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.292000,0.241250,0.243063,0.272656,0.389250,52.265352,7.643020,1.401406
"getGroupStatus completed.",0.766250,0.735875,0.764875,0.795656,0.988172,52.988367,8.321316,1.983463
"Merge request completed.",4.230000,4.224000,5.191250,3.820333,5.425750,7.587000,106.586400,14.736500
"Majority request completed.",2.628000,2.823000,2.647000,1.862000,1.174000,1.770000,3.698000,2.881000
"Program completed. Total",31.871000,71.310875,41.883938,74.666562,175.764609,385.870305,367.495583,196.040651
