Description,Value
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",1.260781
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",20.692625
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.686656
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.427750
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",11.167375
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.476719
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",22.808062
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.237281
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.228250
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.258938
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.237313
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.228156
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.249000
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.252281
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.262625
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.237531
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.257875
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.249531
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.257500
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",4.714812
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.248281
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.224406
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",4.734156
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.227250
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",4.174688
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.170000
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.165781
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.172125
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.169750
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.175938
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.172000
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.175125
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.184406
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.166125
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.173875
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.182688
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.166250
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.182344
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.172313
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.175000
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.186656
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.170594
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.167938
"updateStatus completed.",94.245500
"updateStatus completed.",82.625125
"updateStatus completed.",98.820938
"updateStatus completed.",179.617656
"updateStatus completed.",89.854969
"updateStatus completed.",56.106688
"updateStatus completed.",39.244906
"updateStatus completed.",59.503813
"updateStatus completed.",110.401562
"updateStatus completed.",199.772406
"updateStatus completed.",83.512156
"updateStatus completed.",133.189938
"updateStatus completed.",153.412313
"updateStatus completed.",120.423719
"updateStatus completed.",69.451437
"updateStatus completed.",111.813438
"updateStatus completed.",43.840187
"updateStatus completed.",92.499625
"Write file completed.",94.670250
"Write file completed.",83.012563
"Write file completed.",99.183469
"Write file completed.",180.043344
"Write file completed.",90.301844
"Write file completed.",56.466906
"Write file completed.",39.621625
"Write file completed.",59.882625
"Write file completed.",110.788469
"Write file completed.",219.828000
"Write file completed.",84.796406
"Write file completed.",137.154406
"Write file completed.",153.904750
"Write file completed.",120.872250
"Write file completed.",69.821125
"Write file completed.",112.188750
"Write file completed.",44.214344
"Write file completed.",92.925906
"[getGroupStatus] MySQL connection established.",0.100500
"[getGroupStatus] MySQL connection established.",0.086719
"[getGroupStatus] MySQL connection established.",0.099250
"[getGroupStatus] MySQL connection established.",0.112594
"[getGroupStatus] MySQL connection established.",0.093219
"[getGroupStatus] MySQL connection established.",0.085406
"[getGroupStatus] MySQL connection established.",0.076781
"[getGroupStatus] MySQL connection established.",0.084250
"[getGroupStatus] MySQL connection established.",0.121688
"[getGroupStatus] MySQL connection established.",0.099594
"[getGroupStatus] MySQL connection established.",0.092625
"[getGroupStatus] MySQL connection established.",0.092844
"[getGroupStatus] MySQL connection established.",0.112062
"[getGroupStatus] MySQL connection established.",0.099875
"[getGroupStatus] MySQL connection established.",0.094562
"[getGroupStatus] MySQL connection established.",0.094063
"[getGroupStatus] MySQL connection established.",0.091156
"[getGroupStatus] MySQL connection established.",0.101906
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.282875
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.277688
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.317406
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.326344
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.303469
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.281813
