Description,Value
"[getClientID] MySQL connection established.",0.719750
"[getClientID] MySQL connection established.",0.717500
"[getClientID] MySQL connection established.",0.621750
"[getClientID] MySQL connection established.",0.567500
"[getClientID] MySQL connection established.",0.603000
"[getClientID] MySQL connection established.",0.742500
"[getClientID] MySQL connection established.",0.643250
"[getClientID] MySQL connection established.",0.627750
"[getClientID] MySQL connection established.",0.685500
"[getClientID] MySQL connection established.",0.681500
"[getClientID] MySQL connection established.",0.705750
"[getClientID] MySQL connection established.",0.636250
"[getClientID] MySQL connection established.",0.672250
"[getClientID] MySQL connection established.",0.676500
"[getClientID] MySQL connection established.",0.728000
"[getClientID] MySQL connection established.",0.669250
"[getClientID] MySQL connection established.",0.678500
"[getClientID] MySQL connection established.",0.687750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.362000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.346500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.325750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.347000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.329000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.368000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.345500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.324500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.336500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.363250
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.334500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.346250
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.348750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.349250
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.357000
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.342500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.372750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.362250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.233750
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.215750
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.204750
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.262250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.198750
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.210250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.187750
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.183000
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.198000
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.225500
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.198250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.247000
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.203250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.196250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.200250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.181000
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.195500
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.229500
"getClientID completed.",1.541750
"getClientID completed.",1.429000
"getClientID completed.",1.292000
"getClientID completed.",1.372250
"getClientID completed.",1.263500
"getClientID completed.",1.557000
"getClientID completed.",1.302000
"getClientID completed.",1.272000
"getClientID completed.",1.384500
"getClientID completed.",1.481500
"getClientID completed.",1.362500
"getClientID completed.",1.447500
"getClientID completed.",1.398000
"getClientID completed.",1.368250
"getClientID completed.",1.456750
"getClientID completed.",1.437000
"getClientID completed.",1.476750
"getClientID completed.",1.495000
"Read file completed.",0.013250
"Read file completed.",0.008250
"Read file completed.",0.008750
"Read file completed.",0.012250
"Read file completed.",0.008500
"Read file completed.",0.012750
"Read file completed.",0.007000
"Read file completed.",0.008500
"Read file completed.",0.011000
"Read file completed.",0.012250
"Read file completed.",0.012500
"Read file completed.",0.014250
"Read file completed.",0.011500
"Read file completed.",0.017750
"Read file completed.",0.019750
"Read file completed.",0.007250
"Read file completed.",0.012750
"Read file completed.",0.012750
"[updateStatus] MySQL connection established.",0.124000
"[updateStatus] MySQL connection established.",0.103000
"[updateStatus] MySQL connection established.",0.135750
"[updateStatus] MySQL connection established.",0.128250
"[updateStatus] MySQL connection established.",0.104500
"[updateStatus] MySQL connection established.",0.135750
"[updateStatus] MySQL connection established.",0.098500
"[updateStatus] MySQL connection established.",0.097500
"[updateStatus] MySQL connection established.",0.113500
"[updateStatus] MySQL connection established.",0.125250
"[updateStatus] MySQL connection established.",0.100750
"[updateStatus] MySQL connection established.",0.152750
"[updateStatus] MySQL connection established.",0.150250
"[updateStatus] MySQL connection established.",0.113250
"[updateStatus] MySQL connection established.",0.111750
"[updateStatus] MySQL connection established.",0.108000
"[updateStatus] MySQL connection established.",0.122000
"[updateStatus] MySQL connection established.",0.107500
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.220250
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.418500
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.221250
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.231250
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.298000
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.230250
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.438250
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.187250
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.209750
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.219750
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.197250
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.897500
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.243000
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.238000
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.211500
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.203000
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.376000
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.339250
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.243000
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.243500
