Description,Value
"[getClientID] MySQL connection established.",0.667875
"[getClientID] MySQL connection established.",0.716125
"[getClientID] MySQL connection established.",0.718375
"[getClientID] MySQL connection established.",0.656000
"[getClientID] MySQL connection established.",0.761875
"[getClientID] MySQL connection established.",0.606750
"[getClientID] MySQL connection established.",0.701125
"[getClientID] MySQL connection established.",0.675000
"[getClientID] MySQL connection established.",0.739000
"[getClientID] MySQL connection established.",0.790250
"[getClientID] MySQL connection established.",0.733000
"[getClientID] MySQL connection established.",0.686250
"[getClientID] MySQL connection established.",0.691125
"[getClientID] MySQL connection established.",0.687250
"[getClientID] MySQL connection established.",0.595500
"[getClientID] MySQL connection established.",0.658250
"[getClientID] MySQL connection established.",0.670500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.271500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.459625
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.823750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.537375
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",2.345250
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.418375
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",2.075750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",2.583125
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.243375
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.555875
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.517875
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.419500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",2.158750
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.999500
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",1.933625
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",2.165625
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",2.558250
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.191125
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.202625
