Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.623250,0.695000,0.749875,6.642469,0.757469,0.281500,0.417266,0.321557
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.357500,1.790250,0.357500,0.351625,0.373172,0.656664,0.430723,0.419164
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.214750,0.213000,0.205875,0.211594,0.216625,26.744234,1.878590,0.440004
"getClientID completed.",1.368250,2.894375,1.541625,7.418187,1.572219,29.009828,2.935977,1.381295
"Read file completed.",0.010750,0.015500,0.012250,0.021406,0.012547,0.012914,0.012551,0.014189
"[updateStatus] MySQL connection established.",0.110500,0.099250,0.139937,0.154844,0.144797,0.181875,0.141926,0.145330
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.217500,0.218750,1.165562,1.325437,1.646891,95.696508,279.860815,2.132137
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.244000,0.205750,0.255750,0.245219,0.262562,6.941148,5.519539,0.318584
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.251000,0.197375,0.181250,0.180062,0.177422,0.157734,0.178258,0.183008
"updateStatus completed.",18.798000,14.234125,73.175750,144.737656,88.524703,518.500391,319.556690,76.889174
"Write file completed.",19.118500,14.521750,73.612313,149.182906,89.259234,543.904391,306.147150,86.739848
"[getGroupStatus] MySQL connection established.",0.070750,0.072750,0.101062,0.098125,0.107125,0.126500,0.088770,0.080717
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.262000,0.224375,0.279750,0.301563,0.290547,0.338469,0.297227,0.271861
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.221000,0.185500,0.259500,0.297281,0.372313,114.740898,1.342688,1.362281
"getGroupStatus completed.",0.729000,0.584750,0.812375,0.885469,0.969344,115.567594,1.928590,1.906705
"Merge request completed.",3.675500,4.576750,4.419455,3.814429,4.321000,12.942952,7.729000,20.345000
"Majority request completed.",5.442000,6.792000,2.301000,4.672000,5.057000,3.207000,4.402000,6.548000
"Program completed. Total",26.852500,24.058375,81.953000,161.708969,95.006094,546.636186,313.801517,92.720957
