Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.856750,1.071500,0.955688,0.884437,1.064281,1.097586,1.590449,1.003152
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.575500,8.707000,42.302438,1.368187,0.954406,1.666844,0.928777,1.462420
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.284750,0.328500,0.337938,0.307969,0.303344,0.363508,0.492664,1.079088
"[distributeJob] UPDATE_MATRIX_STATUS /",0.306250,5.095625,4.611375,0.252781,0.253453,1.089344,0.356680,0.865631
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.205000,0.339000,0.296000,0.209000,0.218000,0.189000,0.218000,0.220000
"Distribute job completed.",4.066000,67.246000,77.736375,16.219375,48.809078,15.861562,17.395000,18.973008
"Clean buffer completed.",0.002000,0.002125,0.001688,0.001969,0.001141,0.001633,0.001297,0.001408
"Send headers completed.",0.267500,0.424125,0.331375,0.246281,0.292547,0.208641,0.212652,0.210938
"Open file completed.",0.020000,0.031500,0.028125,0.020781,0.018797,0.015812,0.017047,0.021053
"Output file completed.",0.688000,0.937000,6.269000,9.212188,14.901391,4.442664,2.704461,3.030170
"Program completed. Total",8.598500,72.038000,87.732812,28.921594,66.868219,23.436539,23.368535,25.091111
