Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.258750,0.201625,0.228438,0.233844,0.220469,0.227688,0.229105,0.232146
"First request sent",0.025000,0.025125,0.033063,0.030563,0.033781,0.033680,0.034359,0.031582
"Time from request to first response",0.029250,19.532250,10.893687,0.027469,0.030141,0.030867,0.030223,0.029400
"Response received",684.434750,845.816125,1195.492000,2384.114750,4638.596859,9335.173125,19376.889383,27159.000213
"File saved",0.457250,0.465625,0.409188,0.450469,0.455750,0.450305,0.386965,0.391629
"Command executed",1060.194500,1155.419375,1466.238375,1787.931625,2546.268031,5085.549031,13876.771477,50299.361695
"Second connection established",0.246750,0.239000,0.240313,0.243687,0.223984,0.222766,0.222266,0.214627
"Second request sent",0.024250,0.020500,0.025250,0.026500,0.025484,0.024797,0.026414,0.020797
"Result uploaded",0.056500,0.044500,0.045875,0.055188,0.062531,0.056039,0.059664,0.038826
"Process completed successfully. Total execution time",2474.893250,2763.481750,3982.740375,6721.011812,11722.306813,26240.034961,61014.952277,138314.712818
