Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.247750,0.238000,0.226125,0.196031,0.233937,0.240133,0.235539,0.228775
"First request sent",0.024250,0.025750,0.032688,0.031688,0.033906,0.032391,0.033992,0.032518
"Time from request to first response",0.028500,0.032750,14.446000,0.046563,0.031172,0.028711,0.030160,0.029156
"Response received",648.842750,730.553000,1205.141813,2071.191562,5062.229547,8971.247437,20192.473445,26543.951752
"File saved",0.436000,0.387000,0.461437,0.482156,0.467547,0.450031,0.388586,0.416873
"Command executed",884.380250,1193.159875,1245.600625,1801.889656,2174.916156,4314.423852,12607.939676,53845.984756
"Second connection established",0.262000,0.242625,0.253500,0.237281,0.232781,0.224070,0.215152,0.223969
"Second request sent",0.024250,0.021625,0.023563,0.026844,0.023781,0.026227,0.025781,0.016354
"Result uploaded",0.051750,0.054375,0.055875,0.046938,0.054906,0.055453,0.055875,0.030588
"Process completed successfully. Total execution time",2012.512750,2613.016875,3526.882812,6057.946125,11723.467969,23240.357453,62898.849043,139765.519594
