Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.945750,1.030750,0.811938,0.808219,2.231344,1.087836,1.128891,1.173895
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.969500,1.930250,18.251313,9.926531,0.750312,2.196711,0.675520,1.459564
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.316000,0.311000,0.298375,0.262625,0.295516,0.358219,0.483297,0.688449
"[distributeJob] UPDATE_MATRIX_STATUS /",0.297000,0.270500,5.122438,2.848594,0.258266,0.900445,0.266391,0.537396
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.201000,0.201000,0.398000,0.283000,0.190000,29.109000,0.182000,0.245000
"Distribute job completed.",5.717750,5.624625,65.288812,43.055437,8.926234,45.010609,13.051621,23.615850
"Clean buffer completed.",0.002250,0.001500,0.001750,0.001531,0.001313,0.001273,0.001230,0.001424
"Send headers completed.",0.285000,0.328500,0.424625,0.373375,0.204234,0.229805,0.203648,0.208377
"Open file completed.",0.017500,0.016375,0.027688,0.027844,0.016781,0.017742,0.015871,0.015486
"Output file completed.",0.680500,0.664750,18.379188,35.691656,2.850375,5.131281,2.677934,3.891646
"Program completed. Total",10.509500,10.096625,87.248563,82.109250,14.932234,53.291234,18.993805,31.375012
