Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.603000,0.761875,0.725625,0.549781,0.700094,1.405766,0.592500,0.326754
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.329000,2.345250,0.352875,0.338313,0.369188,0.330461,0.406012,0.421193
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.198750,0.215000,0.219125,0.209562,0.206984,0.203430,0.529234,0.244148
"getClientID completed.",1.263500,3.491750,1.487563,1.286594,1.479406,2.136500,1.741027,1.190535
"Read file completed.",0.008500,0.009625,0.011063,0.011469,0.010969,0.012258,0.012184,0.012756
"[updateStatus] MySQL connection established.",0.104500,0.100875,0.119813,0.126250,0.121625,0.125664,0.137176,0.145561
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.298000,0.409875,0.806937,0.692063,0.757281,11.713531,78.770781,13.764121
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.229000,0.218875,0.240437,0.228156,0.251359,0.252148,8.506227,1.632658
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.232250,0.210750,0.189625,0.175938,0.180063,0.165391,0.185863,0.182977
"updateStatus completed.",15.448500,34.908625,29.876938,89.854969,114.221594,137.218070,186.357723,61.681402
"Write file completed.",15.762000,35.243250,30.207750,90.301844,114.953266,138.057719,189.251496,51.730823
"[getGroupStatus] MySQL connection established.",0.067250,0.081000,0.075250,0.093219,0.104969,0.098742,0.093488,0.078195
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.221500,0.264500,0.291750,0.303469,0.313906,0.299992,0.314840,0.261742
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.182250,0.222500,0.265313,0.304000,0.381609,0.537469,1.051762,1.375371
"getGroupStatus completed.",0.611750,0.733625,0.773625,0.880875,0.990531,1.177789,1.678992,1.892242
"Merge request completed.",4.380000,5.179500,5.058000,33.272188,6.284421,7.342000,10.926000,15.117000
"Majority request completed.",2.200000,2.612000,2.332000,1.897000,1.854000,2.032000,1.755000,5.035000
"Program completed. Total",21.927750,44.204500,35.741500,111.774375,121.961406,144.132742,195.508453,57.646012
