Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.674750,0.672375,0.326438,0.225438,0.477734,0.854492,0.480582,0.321865
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.342500,1.521125,0.330312,0.316781,0.336672,0.355266,0.362098,0.421510
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.259750,0.194125,0.227687,0.196125,0.204484,5.208844,1.593785,0.802262
"getClientID completed.",1.508000,2.581875,1.077875,0.900625,1.213719,6.628805,2.652250,1.735854
"Read file completed.",0.011750,0.010125,0.013375,0.011281,0.012797,0.011727,0.010719,0.012520
"[updateStatus] MySQL connection established.",0.109000,0.101125,0.153000,0.106469,0.159953,0.143430,0.167336,0.134652
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.258250,0.217750,1.530812,146.405062,3.275313,17.325273,210.904309,7.238303
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.213500,0.200500,0.271563,9.314906,0.250469,2.201977,1.412800,1.233936
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.183500,0.184125,0.181125,0.166719,0.164672,0.170125,0.183531,0.183539
"updateStatus completed.",14.759750,15.298375,56.283937,198.353625,225.316984,232.187961,321.472965,81.637883
"Write file completed.",15.192500,15.576125,56.645750,199.430438,243.212250,242.916203,278.000503,87.470268
"[getGroupStatus] MySQL connection established.",0.058000,0.073500,0.097000,0.086281,0.096906,0.109430,0.093547,0.084861
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.227750,0.215750,0.288187,0.266125,0.336156,1.441500,0.324242,0.277553
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.185500,0.172000,0.261313,0.313625,0.472094,1.724547,1.810426,1.342746
"getGroupStatus completed.",0.595250,0.626000,0.825313,0.851438,1.123234,3.507203,2.478410,2.000406
"Merge request completed.",4.117000,4.047600,3.600600,12.099800,44.327167,7.181000,10.633000,15.891000
"Majority request completed.",2.800000,2.538000,1.933000,1.398000,1.250000,1.733000,1.696000,2.859000
"Program completed. Total",22.159000,24.481250,62.588250,211.183563,273.282156,255.941680,285.400265,94.555002
