Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.844000,0.983625,0.995750,0.782688,1.691969,1.500961,1.201855,0.986428
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.143500,17.140375,12.232937,1.614562,0.847516,1.313484,0.702715,0.997203
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.289750,0.336000,0.315813,0.252281,0.327188,0.581766,0.533867,0.703793
"[distributeJob] UPDATE_MATRIX_STATUS /",0.280750,8.598250,4.875188,0.233750,0.277000,0.690984,0.260332,0.816719
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.206000,0.256000,0.215000,0.338000,0.187000,0.227000,0.295000,0.228000
"Distribute job completed.",5.858500,71.879250,60.120875,21.647969,5.584641,53.961625,23.559449,9.246719
"Clean buffer completed.",0.002250,0.001750,0.001625,0.001719,0.001313,0.001469,0.001422,0.001268
"Send headers completed.",0.245750,0.369500,0.498125,0.284688,0.210078,0.246664,0.208129,0.192309
"Open file completed.",0.023000,0.029875,0.040563,0.023188,0.016203,0.019766,0.015820,0.014990
"Output file completed.",0.832750,4.759500,15.006750,19.119250,1.956938,11.707727,3.447211,3.433021
"Program completed. Total",11.010250,80.585750,78.967187,43.994969,10.772437,68.868117,30.137660,15.748523
