Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.917500,0.821375,0.857000,0.837156,2.143953,1.452281,1.170477,1.029316
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.939000,33.320125,26.661437,24.483781,1.756437,0.778672,0.724949,0.780221
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.306500,0.375500,0.296812,0.315125,0.309625,0.372641,0.483418,0.795242
"[distributeJob] UPDATE_MATRIX_STATUS /",0.371250,5.640875,5.657250,3.222000,0.258812,0.277555,0.410242,0.562068
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.224000,0.342000,0.541000,0.112000,0.214000,0.220000,0.113000,0.350000
"Distribute job completed.",5.071500,99.125500,86.881938,81.885312,66.804328,33.810203,10.490621,20.162063
"Clean buffer completed.",0.001750,0.002250,0.001688,0.001438,0.001391,0.001414,0.001246,0.001275
"Send headers completed.",0.197750,0.391375,0.523813,0.343656,0.236484,0.215719,0.204363,0.187154
"Open file completed.",0.016250,0.030125,0.033000,0.027531,0.022156,0.017156,0.015871,0.014850
"Output file completed.",0.650250,0.921125,25.671563,12.831188,1.448219,5.260883,3.339617,4.190166
"Program completed. Total",9.731750,103.603250,116.338437,97.981750,71.542844,42.393633,17.071125,27.750898
