Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.287500,0.180875,0.221188,0.227969,0.215344,0.227984,0.237238,0.232285
"First request sent",0.024500,0.007000,0.033438,0.031563,0.033797,0.031477,0.033953,0.033023
"Time from request to first response",0.029000,91.560875,31.529437,1.849656,0.029594,0.029023,0.031207,0.029809
"Response received",700.849500,734.523500,1017.696625,2217.354094,6268.683703,9783.790859,19514.667059,24221.664719
"File saved",0.435000,0.371625,0.436188,0.455906,0.481938,0.444164,0.381496,0.381371
"Command executed",1014.709000,1114.039500,1290.393000,1585.378625,2413.174844,4881.983227,16042.470324,47020.791824
"Second connection established",0.271250,0.255625,0.236062,0.228063,0.238375,0.226758,0.212445,0.219219
"Second request sent",0.024250,0.026750,0.023750,0.025563,0.025625,0.026117,0.025383,0.021148
"Result uploaded",0.052500,0.053625,0.045063,0.052969,0.054609,0.054531,0.056859,0.040182
"Process completed successfully. Total execution time",2437.269500,2383.642250,3350.421125,5915.248688,15673.254031,26542.002953,64123.676270,125099.247855
