Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.676500,0.691125,0.802063,0.314063,0.735484,1.401805,0.420168,0.322396
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.349250,2.158750,0.354500,0.319812,0.346000,0.353109,0.367164,0.393512
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.196250,0.228750,0.228438,0.207281,7.179391,0.291984,231.309858,0.423494
"getClientID completed.",1.368250,3.255250,1.597625,1.023062,8.486922,2.265945,232.345991,1.341523
"Read file completed.",0.017750,0.009625,0.012063,0.011094,0.011688,0.012297,0.012988,0.013035
"[updateStatus] MySQL connection established.",0.113250,0.106750,0.147812,0.129281,0.137375,0.145617,0.155445,0.154432
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.238000,0.198250,0.912250,0.686656,9.271922,4.008211,168.724657,17.222877
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.222750,0.192250,0.243000,0.248281,2.427125,0.360180,4.961071,2.852461
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.250250,0.175125,0.180687,0.172313,0.191156,0.165898,0.173383,0.184047
"updateStatus completed.",19.474250,240.829000,101.042687,120.423719,145.720828,182.568695,424.250058,141.520447
"Write file completed.",19.755500,241.121250,101.397125,120.872250,146.530594,189.468438,432.854556,167.829730
"[getGroupStatus] MySQL connection established.",0.077000,0.092000,0.099813,0.099875,0.108078,0.096445,0.094340,0.083830
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.307750,0.329750,0.305500,0.290187,0.297766,0.301242,0.316547,0.266393
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.261250,0.319750,0.302938,0.317219,2.929156,0.585398,2.610294,1.517943
"getGroupStatus completed.",0.794000,0.963375,0.866250,1.017375,3.555375,1.285133,3.303564,2.142426
"Merge request completed.",4.408000,5.261375,5.274750,5.585700,11.793148,7.544000,9.555000,15.906000
"Majority request completed.",2.438000,2.818000,1.668000,1.157000,1.090000,1.758000,1.154000,2.830000
"Program completed. Total",26.736250,253.713625,110.762875,127.320437,166.628406,195.889141,263.584980,174.633988
