Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.633750,0.768000,0.772062,1.807594,0.690156,0.524461,,0.292441
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.354000,1.364500,0.359750,0.373125,0.344641,0.324039,,0.376023
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.195000,0.211250,0.228813,0.215187,0.205375,38.508898,,0.228699
"getClientID completed.",1.324250,2.584500,1.582813,2.621875,1.437453,39.554242,,1.079758
"Read file completed.",0.009250,0.011125,0.013188,0.023750,0.011625,0.011172,,0.011885
"[updateStatus] MySQL connection established.",0.113000,0.161125,0.143062,0.130812,0.132125,0.152742,,0.146336
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.404750,0.650250,0.565500,0.972625,1.975609,125.477914,,4.108580
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.235750,0.245375,0.252750,0.254906,0.243656,5.692148,,0.530262
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.226500,0.204750,0.186063,0.180219,0.168563,0.166219,,0.176701
"updateStatus completed.",34.521250,38.391250,52.038000,53.920687,158.102641,238.541843,,114.255344
"Write file completed.",34.974500,38.733625,52.759062,54.270063,167.680219,242.985038,,138.028217
"[getGroupStatus] MySQL connection established.",0.080500,0.082750,0.076437,0.085531,0.106953,0.103008,,0.077602
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.255250,0.275125,0.254875,0.272594,0.309875,0.357203,,0.259832
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.220000,0.240750,0.234000,0.284125,0.455312,102.372477,,1.417312
"getGroupStatus completed.",0.691750,0.735500,0.707937,0.822250,1.091813,103.072133,,1.943133
"Merge request completed.",20.490333,4.356000,12.337250,4.507600,5.651286,15.984167,,15.305000
"Majority request completed.",5.762000,5.965000,6.359000,5.189000,4.575000,4.637000,,5.074000
"Program completed. Total",56.125250,46.341875,65.703438,62.640594,177.793516,374.309283,,147.054213
