Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.832250,0.895875,0.782313,0.845375,2.299531,1.072281,1.338648,1.093516
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",0.843000,1.390500,82.145688,1.517625,1.276297,0.836063,0.711023,0.709582
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.264750,0.263125,0.360688,0.288344,0.315625,0.355891,,0.687824
"[distributeJob] UPDATE_MATRIX_STATUS /",0.281500,0.237500,8.691500,0.242094,0.264047,0.264320,0.612590,0.515197
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.231000,0.321000,0.245000,0.205000,0.219000,0.116000,0.185500,0.200000
"Distribute job completed.",4.623250,24.121500,136.777313,11.586469,6.681328,9.197500,19.515164,13.557785
"Clean buffer completed.",0.001250,0.001500,0.001937,0.001375,0.001328,0.001289,0.001242,0.001484
"Send headers completed.",0.239000,0.304250,0.509938,0.233188,0.212219,0.204922,0.200266,0.205141
"Open file completed.",0.017750,0.027625,0.035875,0.027031,0.015719,0.016125,0.016266,0.016041
"Output file completed.",0.743750,0.996000,35.825875,0.741750,4.677750,1.654148,0.249688,3.800029
"Program completed. Total",9.503250,32.890125,186.150062,15.444781,14.475687,13.933484,24.190441,20.508953
