Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"First connection established",0.242750,0.205250,0.143500,0.213844,0.214656,0.236234,0.221219,0.236303
"First request sent",0.025500,0.005875,0.027438,0.029063,0.034500,0.034367,0.033938,0.031246
"Time from request to first response",0.030000,7.695625,63.061250,0.026656,0.031109,0.030586,0.030293,0.028494
"Response received",711.513000,66.938375,1074.950750,2171.110781,6828.890797,10650.387719,19676.494316,23096.728777
"File saved",0.440250,0.146750,0.442812,0.470906,0.464250,0.468922,0.390977,0.398910
"Command executed",1057.814750,1.784375,1293.058188,1707.888438,3216.939062,4381.831016,15184.656039,53117.290023
"Second connection established",0.238500,0.218000,0.245812,0.218875,0.247078,0.220492,0.208117,0.215424
"Second request sent",0.025500,0.020375,0.027438,0.026063,0.025875,0.025906,0.024836,0.017080
"Result uploaded",0.054500,0.023375,0.044750,0.049281,0.049094,0.055516,0.056137,0.030072
"Process completed successfully. Total execution time",2397.011250,526.715750,3438.208375,6221.090375,17275.570656,27026.906844,62243.441547,133798.146793
