Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[getClientID] MySQL connection established.",0.717500,,0.769875,0.212312,0.733656,0.395570,0.376562,0.332303
"[getClientID] SELECT table_name FROM table_registry WHERE id = :job_id /",0.346500,,0.365938,0.287156,0.370031,0.316336,0.360113,0.418461
"[getClientID] SELECT client FROM `matrix` WHERE id = :sub_job_id /",0.215750,,0.215625,0.200813,0.213422,0.204859,0.199484,0.520297
"getClientID completed.",1.429000,,1.587750,0.862000,1.550969,1.119695,1.121566,1.468369
"Read file completed.",0.008250,,0.012375,0.010563,0.012844,0.012578,0.011738,0.013033
"[updateStatus] MySQL connection established.",0.103000,,0.131250,0.109969,0.128219,0.151594,0.171426,0.152602
"[updateStatus] SELECT table_name FROM table_registry WHERE id = :job_id FOR UPDATE /",0.418500,,0.674250,0.852812,1.470859,5.257008,8.471801,5.175266
"[updateStatus] UPDATE `matrix` SET status = :status WHERE id = :sub_job_id /",0.243500,,0.254625,0.228250,0.249328,2.196906,0.256738,1.826000
"[updateStatus] SELECT COUNT_RECORDS FROM matrix /",,,,,,,,
"[updateStatus] UPDATE table_registry SET status = :status WHERE id = :job_id /",0.222750,,0.182500,0.165781,0.178047,0.576492,0.162730,0.180906
"updateStatus completed.",11.535750,,59.692937,82.625125,106.326391,269.094203,261.783797,85.047477
"Write file completed.",11.780500,,60.059187,83.012563,106.853719,299.708930,311.927148,99.897141
"[getGroupStatus] MySQL connection established.",0.055000,,0.086938,0.086719,0.110453,0.112813,0.095527,0.084561
"[getGroupStatus] SELECT table_name FROM table_registry WHERE id = :job_id /",0.227500,,0.268062,0.277688,0.291563,0.345469,0.291199,0.260854
"[getGroupStatus] SELECT status FROM `matrix` WHERE group_id = :group_id /",0.198000,,0.246313,0.298531,0.386516,0.889055,1.142508,1.505143
"getGroupStatus completed.",0.561750,,0.759500,0.820687,0.976469,1.621602,1.739684,2.060967
"Merge request completed.",4.274500,,4.760333,3.752417,6.252667,17.136750,5.414000,16.483000
"Majority request completed.",2.204000,,2.914000,1.632000,1.314000,181.439000,1.745000,2.069000
"Program completed. Total",19.280750,,68.097750,88.527500,112.807875,307.721109,317.613695,106.239471
