Description,W-1-4,W-1-8,W-1-16,W-1-32,W-1-64,W-1-128,W-1-256,W-1-512
"[distributeJob] MySQL connection established.",0.896000,0.789375,0.870687,0.771156,2.934422,1.032680,1.342227,0.998969
"[distributeJob] SELECT * FROM table_registry WHERE status <= :status ORDER BY id ASC FOR UPDATE /",1.216500,3.325750,19.630187,1.708063,1.240531,1.489656,0.766215,0.714080
"[distributeJob] SELECT * FROM `matrix` WHERE status = :status ORDER BY id ASC LIMIT 1 FOR UPDATE /",0.309250,,0.319313,0.280500,0.336391,0.373664,0.489309,0.703539
"[distributeJob] UPDATE_MATRIX_STATUS /",0.300500,0.254500,2.051813,0.242875,0.280484,0.270992,0.270125,0.432033
"[distributeJob] UPDATE table_registry SET status = :status WHERE table_name = :table_name /",0.211000,0.185500,0.190000,0.115000,0.301000,0.209000,0.212000,0.222000
"Distribute job completed.",5.818000,15.598625,86.751687,16.011813,10.056531,20.147703,15.131371,24.591031
"Clean buffer completed.",0.001750,0.001750,0.001938,0.001219,0.001266,0.001750,0.001359,0.001314
"Send headers completed.",0.233500,0.319750,0.501437,0.289875,0.199328,0.225938,0.209969,0.197139
"Open file completed.",0.020250,0.026375,0.039125,0.020406,0.016625,0.017555,0.015652,0.015354
"Output file completed.",0.674750,0.170500,53.386813,9.094656,3.374609,2.480484,2.571477,3.759117
"Program completed. Total",10.830500,19.134125,144.017312,28.098625,16.782859,25.889234,20.998754,31.564789
